S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,110,112,110,110,110.54,"1,028",110,"113,638",6,0.00,2.00,0.00,1.82,-0.49,0.00,0.00
2,ADBL,-,166,167,161,165,164.70,"4,219",166,"694,872",49,-1.00,6.00,-0.60,3.73,0.18,0.00,0.00
3,AHPC,-,332,335,320,328,327.56,"1,093",332,"358,018",18,-4.00,15.00,-1.20,4.69,0.14,0.00,0.00
4,ALDBL,-,91,91,90,91,90.40,50,91,"4,520",2,0.00,1.00,0.00,1.11,0.66,0.00,0.00
5,ALICL,-,161,163,163,163,163.00,90,161,"14,670",1,2.00,0.00,1.24,0.00,0.00,0.00,0.00
6,BLDBL,-,150,151,151,151,151.00,14,150,"2,114",1,1.00,0.00,0.67,0.00,0.00,0.00,0.00
7,BOK,-,601,607,589,592,594.27,"16,398",601,"9,744,825",85,-9.00,18.00,-1.50,3.06,-0.38,0.00,0.00
8,BPCL,-,616,640,621,640,630.85,"1,007",616,"635,264",12,24.00,19.00,3.90,3.06,1.43,0.00,0.00
9,BSBL,-,139,144,135,144,138.06,810,139,"111,830",32,5.00,9.00,3.60,6.67,4.12,0.00,0.00
10,BUDBL,-,115,117,116,117,116.20,841,115,"97,722",4,2.00,1.00,1.74,0.86,0.69,0.00,0.00
11,CDBL,-,149,163,149,163,160.66,"8,872",149,"1,425,340",102,14.00,14.00,9.40,9.40,1.44,0.00,0.00
12,CEDBL,-,146,147,144,144,144.49,"2,464",146,"356,032",6,-2.00,3.00,-1.37,2.08,-0.34,0.00,0.00
13,CHCL,-,1040,1050,1040,1045,"1,044.27","4,794",1040,"5,006,242",63,5.00,10.00,0.48,0.96,0.07,0.00,0.00
14,CNDBL,-,75,75,70,70,72.77,"3,100",75,"225,600",91,-5.00,5.00,-6.67,7.14,-3.96,0.00,0.00
