S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,168,168,165,166,166.82,"1,990",168,"331,980",26,-2.00,3.00,-1.19,1.82,-0.50,0.00,0.00
2,AHPC,-,340,341,334,335,335.28,457,340,"153,225",14,-5.00,7.00,-1.47,2.10,-0.08,0.00,0.00
3,AIC,-,98,99,99,99,99.00,58,98,"5,742",1,1.00,0.00,1.02,0.00,0.00,0.00,0.00
4,ALDBL,-,99,100,95,95,99.28,360,99,"35,740",31,-4.00,5.00,-4.04,5.26,-4.50,0.00,0.00
5,ALICL,-,176,173,170,170,171.64,"1,400",176,"240,300",6,-6.00,3.00,-3.41,1.76,-0.97,0.00,0.00
6,BOK,-,619,630,606,610,612.52,"3,921",619,"2,401,707",29,-9.00,24.00,-1.45,3.96,-0.41,0.00,0.00
7,BPCL,-,570,615,581,604,601.18,"6,499",570,"3,907,086",33,34.00,34.00,5.96,5.85,0.47,0.00,0.00
8,BSBL,-,138,139,136,137,138.33,"1,480",138,"204,730",13,-1.00,3.00,-0.72,2.21,-0.97,0.00,0.00
9,CDBL,-,163,160,160,160,160.00,33,163,"5,280",1,-3.00,0.00,-1.84,0.00,0.00,0.00,0.00
10,CEDBL,-,145,147,147,147,147.00,710,145,"104,370",4,2.00,0.00,1.38,0.00,0.00,0.00,0.00
11,CHCL,-,1066,1070,1040,1058,"1,054.93","6,978",1066,"7,361,296",65,-8.00,30.00,-0.75,2.88,0.29,0.00,0.00
12,CNDBL,-,70,72,68,68,69.88,"2,090",70,"146,040",84,-2.00,4.00,-2.86,5.88,-2.76,0.00,0.00
13,CZBIL,-,210,211,198,201,202.52,"3,828",210,"775,249",23,-9.00,13.00,-4.29,6.57,-0.76,0.00,0.00
14,DDBL,-,301,301,301,301,301.00,500,301,"150,500",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,EBL,-,1070,1070,1052,1057,"1,062.62","14,932",1070,"15,867,030",28,-13.00,18.00,-1.21,1.71,-0.53,0.00,0.00
16,EDBL,-,255,264,259,259,259.03,"4,038",255,"1,045,962",4,4.00,5.00,1.57,1.93,-0.01,0.00,0.00
17,FMDBL,-,150,147,147,147,147.00,795,150,"116,865",3,-3.00,0.00,-2.00,0.00,0.00,0.00,0.00
18,GBBL,-,157,160,155,160,156.50,260,157,"40,690",8,3.00,5.00,1.91,3.23,2.19,0.00,0.00
19,GLICL,-,107,108,107,108,107.51,"2,170",107,"233,290",35,1.00,1.00,0.93,0.93,0.46,0.00,0.00
20,GRAND,-,176,176,173,175,174.56,"1,412",176,"246,484",7,-1.00,3.00,-0.57,1.73,0.25,0.00,0.00
21,GSDBL,-,84,87,85,85,85.66,162,84,"13,877",10,1.00,2.00,1.19,2.35,-0.78,0.00,0.00
22,HBL,-,662,652,640,650,643.99,966,662,"622,095",8,-12.00,12.00,-1.81,1.88,0.92,0.00,0.00
23,ICFC,-,129,127,127,127,127.00,"1,046",129,"132,842",1,-2.00,0.00,-1.55,0.00,0.00,0.00,0.00
24,ILFC,-,104,102,97,97,97.83,"20,463",104,"2,001,977",73,-7.00,5.00,-6.73,5.15,-0.86,0.00,0.00
25,JBBL,-,88,89,87,89,87.54,"1,090",88,"95,420",11,1.00,2.00,1.14,2.30,1.64,0.00,0.00
26,JBNL,-,128,129,124,126,125.68,"16,698",128,"2,098,645",114,-2.00,5.00,-1.56,4.03,0.25,0.00,0.00
27,JFL,-,325,331,319,319,324.18,440,325,"142,640",4,-6.00,12.00,-1.85,3.76,-1.62,0.00,0.00
28,KBL,-,240,236,227,230,229.23,"1,836",240,"420,868",15,-10.00,9.00,-4.17,3.96,0.33,0.00,0.00
29,KDBL,-,85,85,81,83,83.82,"1,287",85,"107,874",47,-2.00,4.00,-2.35,4.94,-0.99,0.00,0.00
30,KIST,-,114,115,113,115,113.02,"131,970",114,"14,914,950",7,1.00,2.00,0.88,1.77,1.72,0.00,0.00
31,KMBL,-,116,123,118,119,120.18,"2,020",116,"242,760",39,3.00,5.00,2.59,4.24,-0.99,0.00,0.00
32,KRBL,-,79,78,78,78,78.00,10,79,780,1,-1.00,0.00,-1.27,0.00,0.00,0.00,0.00
33,LBL,-,343,349,343,343,345.04,244,343,"84,190",3,0.00,6.00,0.00,1.75,-0.60,0.00,0.00
34,LFLC,-,160,166,157,166,157.52,625,160,"98,452",6,6.00,9.00,3.75,5.73,5.11,0.00,0.00
35,LUBL,-,224,221,218,218,219.33,240,224,"52,640",3,-6.00,3.00,-2.68,1.38,-0.61,0.00,0.00
36,MBBL,-,106,108,106,106,107.77,350,106,"37,720",3,0.00,2.00,0.00,1.89,-1.67,0.00,0.00
