S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,152,156,149,151,151.83,"3,977",152,"603,820",48,-1.00,7.00,-0.66,4.70,-0.55,0.00,0.00
2,AHPC,-,306,305,301,303,302.48,330,306,"99,818",13,-3.00,4.00,-0.98,1.33,0.17,0.00,0.00
3,ALDBL,-,101,100,98,100,99.06,170,101,"16,840",6,-1.00,2.00,-0.99,2.04,0.94,0.00,0.00
4,ALICL,-,171,180,174,177,177.21,140,171,"24,810",5,6.00,6.00,3.51,3.45,-0.12,0.00,0.00
5,BLDBL,-,134,138,136,138,137.50,40,134,"5,500",2,4.00,2.00,2.99,1.47,0.36,0.00,0.00
6,BOK,-,629,627,619,624,622.61,"5,123",629,"3,189,612",40,-5.00,8.00,-0.79,1.29,0.22,0.00,0.00
7,BPCL,-,555,577,566,577,570.38,160,555,"91,260",5,22.00,11.00,3.96,1.94,1.15,0.00,0.00
8,BSBL,-,122,124,122,123,123.78,"1,350",122,"167,100",35,1.00,2.00,0.82,1.64,-0.63,0.00,0.00
9,BUDBL,-,111,113,111,111,111.17,"3,067",111,"340,964",10,0.00,2.00,0.00,1.80,-0.15,0.00,0.00
10,CDBL,-,130,135,126,135,128.49,913,130,"117,313",24,5.00,9.00,3.85,7.14,4.82,0.00,0.00
11,CEDBL,-,135,145,140,145,142.58,796,135,"113,496",5,10.00,5.00,7.41,3.57,1.67,0.00,0.00
12,CHCL,-,885,880,860,873,873.96,"16,062",885,"14,037,562",94,-12.00,20.00,-1.36,2.33,-0.11,0.00,0.00
13,CIT,-,566,577,566,566,569.93,28,566,"15,958",2,0.00,11.00,0.00,1.94,-0.69,0.00,0.00
14,CZBIL,-,229,230,224,230,228.00,"1,686",229,"384,404",17,1.00,6.00,0.44,2.68,0.87,0.00,0.00
15,DDBL,-,295,290,289,289,289.33,300,295,"86,800",2,-6.00,1.00,-2.03,0.35,-0.12,0.00,0.00
16,DIYALO,-,85,84,83,83,83.84,190,85,"15,930",7,-2.00,1.00,-2.35,1.20,-1.01,0.00,0.00
17,EBL,-,980,994,975,981,977.39,"59,280",980,"57,939,514",49,1.00,19.00,0.10,1.95,0.37,0.00,0.00
18,EBLCP,-,926,908,838,864,883.40,"33,588",926,"29,671,788",25,-62.00,70.00,-6.70,8.35,-2.25,0.00,0.00
19,FMDBL,-,138,138,138,138,138.00,"1,655",138,"228,390",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,GBBL,-,140,140,138,138,139.14,210,140,"29,220",4,-2.00,2.00,-1.43,1.45,-0.83,0.00,0.00
21,GDBL,-,121,119,115,115,116.45,845,121,"98,402",5,-6.00,4.00,-4.96,3.48,-1.26,0.00,0.00
22,GLICL,-,97,100,96,98,98.77,"1,640",97,"161,990",39,1.00,4.00,1.03,4.17,-0.79,0.00,0.00
23,GRAND,-,212,211,210,210,210.02,"1,884",212,"395,687",18,-2.00,1.00,-0.94,0.48,-0.01,0.00,0.00
24,GSDBL,-,82,81,79,80,79.82,252,82,"20,115",23,-2.00,2.00,-2.44,2.53,0.22,0.00,0.00
