S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,112,114,110,110,110.96,"3,178",112,"352,642",9,-2.00,4.00,-1.79,3.64,-0.88,0.00,0.00
2,ADBL,-,175,180,173,177,177.71,"7,405",175,"1,315,960",51,2.00,7.00,1.14,4.05,-0.40,0.00,0.00
3,AHPC,-,330,340,326,340,331.56,729,330,"241,709",10,10.00,14.00,3.03,4.29,2.48,0.00,0.00
4,ALDBL,-,98,97,96,96,96.98,430,98,"41,700",3,-2.00,1.00,-2.04,1.04,-1.02,0.00,0.00
5,ALICL,-,172,189,175,189,184.33,150,172,"27,650",6,17.00,14.00,9.88,8.00,2.47,0.00,0.00
6,BBC,-,1883,1846,1846,1846,"1,846.00",10,1883,"18,460",1,-37.00,0.00,-1.96,0.00,0.00,0.00,0.00
7,BOK,-,591,608,591,595,598.72,"7,802",591,"4,671,187",61,4.00,17.00,0.68,2.88,-0.62,0.00,0.00
8,BPCL,-,658,675,657,661,664.64,"2,979",658,"1,979,962",18,3.00,18.00,0.46,2.74,-0.55,0.00,0.00
9,BSBL,-,141,142,140,141,140.46,500,141,"70,230",4,0.00,2.00,0.00,1.43,0.38,0.00,0.00
10,BUDBL,-,115,114,112,114,112.12,"3,489",115,"391,174",3,-1.00,2.00,-0.87,1.79,1.65,0.00,0.00
11,CBBL,-,371,364,364,364,364.00,10,371,"3,640",1,-7.00,0.00,-1.89,0.00,0.00,0.00,0.00
12,CDBL,-,169,172,160,160,161.70,368,169,"59,507",11,-9.00,12.00,-5.33,7.50,-1.06,0.00,0.00
13,CEDBL,-,144,146,146,146,146.00,34,144,"4,964",1,2.00,0.00,1.39,0.00,0.00,0.00,0.00
14,CHCL,-,1057,1074,1060,1070,"1,065.43","6,108",1057,"6,507,676",51,13.00,14.00,1.23,1.32,0.43,0.00,0.00
15,CNDBL,-,70,71,69,70,70.67,"1,840",70,"130,040",46,0.00,2.00,0.00,2.90,-0.96,0.00,0.00
16,CZBIL,-,194,201,197,200,199.55,684,194,"136,493",7,6.00,4.00,3.09,2.03,0.22,0.00,0.00
17,CZBILP,-,100,100,100,100,100.00,"15,000",100,"1,500,000",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,DDBL,-,275,270,260,260,262.85,209,275,"54,935",3,-15.00,10.00,-5.45,3.85,-1.09,0.00,0.00
19,DIYALO,-,89,91,90,91,90.46,130,89,"11,760",5,2.00,1.00,2.25,1.11,0.59,0.00,0.00
20,EBL,-,1061,1069,1057,1063,"1,061.43","3,340",1061,"3,545,186",29,2.00,12.00,0.19,1.14,0.15,0.00,0.00
21,EDBL,-,275,270,270,270,270.00,300,275,"81,000",1,-5.00,0.00,-1.82,0.00,0.00,0.00,0.00
22,EFL,-,98,97,97,97,97.00,90,98,"8,730",1,-1.00,0.00,-1.02,0.00,0.00,0.00,0.00
23,FMDBL,-,149,150,146,146,147.56,532,149,"78,500",7,-3.00,4.00,-2.01,2.74,-1.07,0.00,0.00
24,GBBL,-,173,177,172,176,174.92,"3,020",173,"528,260",13,3.00,5.00,1.73,2.91,0.61,0.00,0.00
25,GLICL,-,119,130,115,130,126.82,"6,930",119,"878,890",93,11.00,15.00,9.24,13.04,2.44,0.00,0.00
26,GRAND,-,170,175,171,175,172.71,973,170,"168,051",5,5.00,4.00,2.94,2.34,1.31,0.00,0.00
27,GSDBL,-,92,91,91,91,91.00,10,92,910,1,-1.00,0.00,-1.09,0.00,0.00,0.00,0.00
28,HAMA,-,121,119,109,109,112.50,120,121,"13,500",6,-12.00,10.00,-9.92,9.17,-3.21,0.00,0.00
29,HBL,-,688,699,681,681,688.44,964,688,"663,653",12,-7.00,18.00,-1.02,2.64,-1.09,0.00,0.00
30,ICFC,-,126,125,122,122,123.38,"1,519",126,"187,420",9,-4.00,3.00,-3.17,2.46,-1.13,0.00,0.00
31,ILFC,-,93,94,90,92,92.08,"6,966",93,"641,408",24,-1.00,4.00,-1.08,4.44,-0.08,0.00,0.00
32,JBBL,-,88,89,87,88,88.39,380,88,"33,590",7,0.00,2.00,0.00,2.30,-0.45,0.00,0.00
33,JBNL,-,126,127,125,126,125.85,"5,779",126,"727,310",60,0.00,2.00,0.00,1.60,0.12,0.00,0.00
34,JFL,-,329,323,323,323,323.00,200,329,"64,600",1,-6.00,0.00,-1.82,0.00,0.00,0.00,0.00
35,KAFIL,-,104,105,105,105,105.00,745,104,"78,225",4,1.00,0.00,0.96,0.00,0.00,0.00,0.00
36,KBL,-,238,238,234,238,235.62,"4,045",238,"953,085",20,0.00,4.00,0.00,1.71,1.00,0.00,0.00
37,KDBL,-,83,85,83,85,83.55,445,83,"37,180",17,2.00,2.00,2.41,2.41,1.71,0.00,0.00
38,KIST,-,113,115,113,114,113.67,"8,160",113,"927,530",13,1.00,2.00,0.88,1.77,0.29,0.00,0.00
39,KMBL,-,116,116,114,114,115.17,290,116,"33,400",6,-2.00,2.00,-1.72,1.75,-1.03,0.00,0.00
40,KRBL,-,80,80,75,76,76.94,480,80,"36,930",11,-4.00,5.00,-5.00,6.67,-1.23,0.00,0.00
41,LBL,-,320,326,324,324,325.00,"2,434",320,"791,042",11,4.00,2.00,1.25,0.62,-0.31,0.00,0.00
42,LFLC,-,148,151,149,151,150.30,222,148,"33,367",3,3.00,2.00,2.03,1.34,0.46,0.00,0.00
43,LICN,-,970,951,950,950,950.13,940,970,"893,120",9,-20.00,1.00,-2.06,0.11,-0.01,0.00,0.00
44,LUBL,-,215,219,218,218,218.05,"5,364",215,"1,169,644",8,3.00,1.00,1.40,0.46,-0.02,0.00,0.00
45,MBBL,-,104,108,105,108,106.92,130,104,"13,900",6,4.00,3.00,3.85,2.86,1.00,0.00,0.00
46,MDB,-,126,127,125,125,125.34,700,126,"87,740",5,-1.00,2.00,-0.79,1.60,-0.27,0.00,0.00
47,MDBL,-,131,131,131,131,131.00,720,131,"94,320",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,MKDBL,-,70,71,68,71,69.96,"1,260",70,"88,150",21,1.00,3.00,1.43,4.41,1.46,0.00,0.00
49,MNBBL,-,292,295,295,295,295.00,360,292,"106,200",1,3.00,0.00,1.03,0.00,0.00,0.00,0.00
50,NABB,-,113,113,111,113,111.39,373,113,"41,549",2,0.00,2.00,0.00,1.80,1.42,0.00,0.00
51,NABIL,-,1450,1451,1437,1437,"1,440.88","1,216",1450,"1,752,112",13,-13.00,14.00,-0.90,0.97,-0.27,0.00,0.00
52,NBB,-,137,143,132,132,136.64,"8,713",137,"1,190,560",49,-5.00,11.00,-3.65,8.33,-3.52,0.00,0.00
53,NCCB,-,119,125,119,122,122.15,"7,750",119,"946,690",22,3.00,6.00,2.52,5.04,-0.13,0.00,0.00
54,NCM,-,129,131,131,131,131.00,"1,168",129,"153,008",1,2.00,0.00,1.55,0.00,0.00,0.00,0.00
55,NDEP,-,74,73,70,72,71.48,"5,682",74,"406,150",28,-2.00,3.00,-2.70,4.29,0.72,0.00,0.00
56,NGBL,-,142,143,139,139,142.17,230,142,"32,700",5,-3.00,4.00,-2.11,2.88,-2.28,0.00,0.00
57,NIB,-,531,541,526,530,532.27,"5,248",531,"2,793,370",30,-1.00,15.00,-0.19,2.85,-0.43,0.00,0.00
58,NIL,-,118,107,100,100,103.69,620,118,"64,290",9,-18.00,7.00,-15.25,7.00,-3.69,0.00,0.00
59,NLIC,-,875,880,874,880,879.39,"1,115",875,"980,525",3,5.00,6.00,0.57,0.69,0.07,0.00,0.00
60,NMB,-,155,159,156,156,156.06,530,155,"82,710",5,1.00,3.00,0.65,1.92,-0.04,0.00,0.00
61,NNFC,-,148,146,144,144,145.61,657,148,"95,665",4,-4.00,2.00,-2.70,1.39,-1.12,0.00,0.00
62,NTC,-,594,612,588,593,594.13,"28,455",594,"16,906,050",66,-1.00,24.00,-0.17,4.08,-0.19,0.00,0.00
63,NUBL,-,152,166,155,166,161.64,537,152,"86,798",5,14.00,11.00,9.21,7.10,2.63,0.00,0.00
64,OHL,-,80,81,80,81,80.98,550,80,"44,540",4,1.00,1.00,1.25,1.25,0.02,0.00,0.00
65,PBSL,-,97,98,96,97,97.19,260,97,"25,270",15,0.00,2.00,0.00,2.08,-0.20,0.00,0.00
66,PCBL,-,223,227,220,227,224.84,"2,560",223,"575,590",17,4.00,7.00,1.79,3.18,0.95,0.00,0.00
67,PDB,-,69,70,70,70,70.00,30,69,"2,100",1,1.00,0.00,1.45,0.00,0.00,0.00,0.00
68,PIC,-,138,144,140,144,141.23,209,138,"29,518",4,6.00,4.00,4.35,2.86,1.92,0.00,0.00
69,PICL,-,187,184,184,184,184.00,"1,000",187,"184,000",1,-3.00,0.00,-1.60,0.00,0.00,0.00,0.00
70,PLIC,-,249,257,251,252,253.79,"1,624",249,"412,158",37,3.00,6.00,1.20,2.39,-0.71,0.00,0.00
71,PRFL,-,138,142,137,140,139.43,"2,712",138,"378,129",16,2.00,5.00,1.45,3.65,0.41,0.00,0.00
72,PURBL,-,70,71,69,69,70.06,"1,410",70,"98,780",72,-1.00,2.00,-1.43,2.90,-1.53,0.00,0.00
73,RIBSL,-,140,144,142,143,142.82,228,140,"32,564",6,3.00,2.00,2.14,1.41,0.12,0.00,0.00
74,SANIMA,-,184,189,183,189,184.72,"4,139",184,"764,561",16,5.00,6.00,2.72,3.28,2.26,0.00,0.00
75,SBBLJ,-,175,177,177,177,177.00,"2,166",175,"383,382",1,2.00,0.00,1.14,0.00,0.00,0.00,0.00
76,SBI,-,584,590,580,590,584.94,780,584,"456,250",8,6.00,10.00,1.03,1.72,0.86,0.00,0.00
77,SBL,-,297,304,300,300,301.41,"3,751",297,"1,130,572",20,3.00,4.00,1.01,1.33,-0.47,0.00,0.00
78,SCB,-,1761,1760,1745,1745,"1,749.50",844,1761,"1,476,580",9,-16.00,15.00,-0.91,0.86,-0.26,0.00,0.00
