S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,105,107,107,107,107.00,72,105,"7,704",1,2.00,0.00,1.90,0.00,0.00,0.00,0.00
2,ADBL,-,204,214,202,214,208.10,"6,663",204,"1,386,542",43,10.00,12.00,4.90,5.94,2.76,0.00,0.00
3,AHPC,-,272,275,268,271,269.97,"2,270",272,"612,839",9,-1.00,7.00,-0.37,2.61,0.38,0.00,0.00
4,AIC,-,132,133,133,133,133.00,"10,189",132,"1,355,137",1,1.00,0.00,0.76,0.00,0.00,0.00,0.00
5,ALDBL,-,91,90,89,89,89.08,120,91,"10,690",12,-2.00,1.00,-2.20,1.12,-0.09,0.00,0.00
6,ALICL,-,230,232,229,230,229.73,"3,478",230,"799,015",32,0.00,3.00,0.00,1.31,0.12,0.00,0.00
7,AXIS,-,77,79,77,77,78.83,"1,155",77,"91,054",12,0.00,2.00,0.00,2.60,-2.38,0.00,0.00
8,BNT,-,1315,1315,1315,1315,"1,315.00",486,1315,"639,090",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,BOK,-,540,555,540,543,541.61,"4,627",540,"2,506,047",32,3.00,15.00,0.56,2.78,0.26,0.00,0.00
10,BPCL,-,789,786,786,786,786.00,116,789,"91,176",1,-3.00,0.00,-0.38,0.00,0.00,0.00,0.00
11,BSBL,-,123,123,123,123,123.00,42,123,"5,166",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,BUDBL,-,88,88,87,87,87.23,991,88,"86,447",7,-1.00,1.00,-1.14,1.15,-0.27,0.00,0.00
13,CBL,-,144,144,143,143,143.04,"14,191",144,"2,029,821",61,-1.00,1.00,-0.69,0.70,-0.03,0.00,0.00
14,CDBL,-,160,162,161,162,161.41,152,160,"24,534",5,2.00,1.00,1.25,0.62,0.37,0.00,0.00
15,CEDBL,-,147,149,146,147,147.00,462,147,"67,914",6,0.00,3.00,0.00,2.05,0.00,0.00,0.00
16,CHCL,-,1130,1132,1123,1128,"1,126.82","3,687",1130,"4,154,591",39,-2.00,9.00,-0.18,0.80,0.10,0.00,0.00
17,CIT,-,1160,1161,1150,1161,"1,155.74",109,1160,"125,976",3,1.00,11.00,0.09,0.96,0.45,0.00,0.00
18,CMBSL,-,86,85,84,84,84.32,"2,515",86,"212,065",2,-2.00,1.00,-2.33,1.19,-0.38,0.00,0.00
19,CNDBL,-,72,76,71,76,75.36,"6,520",72,"491,340",116,4.00,5.00,5.56,7.04,0.84,0.00,0.00
20,CTBNL,-,141,142,139,140,140.11,"21,917",141,"3,070,889",210,-1.00,3.00,-0.71,2.16,-0.08,0.00,0.00
21,CZBIL,-,248,249,246,249,248.56,"1,839",248,"457,101",10,1.00,3.00,0.40,1.22,0.18,0.00,0.00
22,EBL,-,1535,1540,1515,1537,"1,521.53","16,316",1535,"24,825,210",74,2.00,25.00,0.13,1.65,1.01,0.00,0.00
23,GBBL,-,155,155,154,154,154.92,531,155,"82,261",4,-1.00,1.00,-0.65,0.65,-0.60,0.00,0.00
24,GDBL,-,153,150,147,147,149.51,"2,430",153,"363,300",6,-6.00,3.00,-3.92,2.04,-1.70,0.00,0.00
25,GLICL,-,153,152,152,152,152.00,200,153,"30,400",20,-1.00,0.00,-0.65,0.00,0.00,0.00,0.00
26,GSDBL,-,75,77,75,77,76.20,275,75,"20,955",25,2.00,2.00,2.67,2.67,1.04,0.00,0.00
27,HBL,-,699,695,686,692,690.90,"1,575",699,"1,088,168",9,-7.00,9.00,-1.00,1.31,0.16,0.00,0.00
28,HGI,-,182,185,185,185,185.00,"3,360",182,"621,600",1,3.00,0.00,1.65,0.00,0.00,0.00,0.00
29,ICFC,-,115,115,113,114,113.49,"1,170",115,"132,787",4,-1.00,2.00,-0.87,1.77,0.44,0.00,0.00
30,NBIL,-,42,46,43,46,44.55,100,42,"4,455",5,4.00,3.00,9.52,6.98,3.15,0.00,0.00
31,ILFC,-,138,139,136,137,137.82,"6,963",138,"959,617",22,-1.00,3.00,-0.72,2.21,-0.60,0.00,0.00
32,JBBL,-,75,77,74,76,76.53,"1,140",75,"87,240",11,1.00,3.00,1.33,4.05,-0.69,0.00,0.00
33,JBNL,-,163,164,160,163,160.99,"10,632",163,"1,711,667",26,0.00,4.00,0.00,2.50,1.23,0.00,0.00
34,JFL,-,240,240,236,236,238.69,147,240,"35,088",3,-4.00,4.00,-1.67,1.69,-1.14,0.00,0.00
35,KADBL,-,112,114,114,114,114.00,214,112,"24,396",1,2.00,0.00,1.79,0.00,0.00,0.00,0.00
36,KAFIL,-,98,98,97,97,97.20,346,98,"33,631",3,-1.00,1.00,-1.02,1.03,-0.21,0.00,0.00
37,KBL,-,258,254,247,247,252.32,"1,528",258,"385,550",4,-11.00,7.00,-4.26,2.83,-2.16,0.00,0.00
38,KDBL,-,76,76,73,75,75.34,737,76,"55,525",15,-1.00,3.00,-1.32,4.11,-0.45,0.00,0.00
39,KMBL,-,125,127,127,127,127.00,10,125,"1,270",1,2.00,0.00,1.60,0.00,0.00,0.00,0.00
40,KRBL,-,51,51,50,51,50.67,460,51,"23,310",7,0.00,1.00,0.00,2.00,0.64,0.00,0.00
41,LBL,-,302,306,302,306,304.75,501,302,"152,682",3,4.00,4.00,1.32,1.32,0.41,0.00,0.00
42,LGIL,-,123,125,125,125,125.00,200,123,"25,000",1,2.00,0.00,1.63,0.00,0.00,0.00,0.00
43,LICN,-,1210,1190,1190,1190,"1,190.00",12,1210,"14,280",1,-20.00,0.00,-1.65,0.00,0.00,0.00,0.00
44,LUBL,-,196,194,191,192,191.91,"2,908",196,"558,074",7,-4.00,3.00,-2.04,1.57,0.05,0.00,0.00
45,MBBL,-,76,76,76,76,76.00,20,76,"1,520",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,MBL,-,192,190,190,190,190.00,"3,590",192,"682,100",9,-2.00,0.00,-1.04,0.00,0.00,0.00,0.00
47,MDB,-,141,142,142,142,142.00,72,141,"10,224",3,1.00,0.00,0.71,0.00,0.00,0.00,0.00
48,MFIL,-,110,111,111,111,111.00,"2,250",110,"249,750",1,1.00,0.00,0.91,0.00,0.00,0.00,0.00
49,MNBBL,-,260,260,257,260,259.44,430,260,"111,560",3,0.00,3.00,0.00,1.17,0.21,0.00,0.00
50,NABIL,-,1747,1748,1740,1748,"1,743.63",869,1747,"1,515,214",14,1.00,8.00,0.06,0.46,0.25,0.00,0.00
51,NABILP,-,1090,1090,1090,1090,"1,090.00",50,1090,"54,500",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,NBB,-,290,295,283,286,288.25,"7,678",290,"2,213,207",18,-4.00,12.00,-1.38,4.24,-0.79,0.00,0.00
53,,-,10,10,10,10,9.99,"115,424",10,"1,152,930",42,0.00,0.00,0.00,0.00,0.11,0.00,0.00
54,NBL,-,158,158,152,155,154.68,"2,012",158,"311,222",11,-3.00,6.00,-1.90,3.95,0.20,0.00,0.00
55,NCCB,-,215,224,216,224,221.18,"3,050",215,"674,610",15,9.00,8.00,4.19,3.70,1.26,0.00,0.00
56,NGBL,-,119,120,120,120,120.00,77,119,"9,240",3,1.00,0.00,0.84,0.00,0.00,0.00,0.00
57,NHPC,-,58,60,57,59,59.06,"17,470",58,"1,031,830",10,1.00,3.00,1.72,5.26,-0.11,0.00,0.00
58,NIB,-,729,731,725,730,725.75,"4,870",729,"3,534,422",17,1.00,6.00,0.14,0.83,0.58,0.00,0.00
59,NLBBL,-,343,347,344,345,346.42,"1,526",343,"528,632",15,2.00,3.00,0.58,0.87,-0.41,0.00,0.00
60,NLIC,-,1291,1300,1299,1299,"1,299.04","1,266",1291,"1,644,584",3,8.00,1.00,0.62,0.08,-0.00,0.00,0.00
61,NLICL,-,561,576,565,576,571.23,417,561,"238,203",7,15.00,11.00,2.67,1.95,0.83,0.00,0.00
62,NMB,-,245,244,243,244,243.57,897,245,"218,485",6,-1.00,1.00,-0.41,0.41,0.17,0.00,0.00
63,NTC,-,530,530,526,530,529.79,"3,900",530,"2,066,200",9,0.00,4.00,0.00,0.76,0.04,0.00,0.00
64,NUBL,-,270,270,265,265,269.08,880,270,"236,790",4,-5.00,5.00,-1.85,1.89,-1.54,0.00,0.00
65,PBSL,-,92,94,93,93,93.73,150,92,"14,060",8,1.00,1.00,1.09,1.08,-0.79,0.00,0.00
66,PCBL,-,317,320,312,318,318.51,"4,916",317,"1,565,805",32,1.00,8.00,0.32,2.56,-0.16,0.00,0.00
67,PFC,-,206,202,202,202,202.00,181,206,"36,562",1,-4.00,0.00,-1.94,0.00,0.00,0.00,0.00
68,PLIC,-,246,250,245,247,247.32,"1,261",246,"311,874",6,1.00,5.00,0.41,2.04,-0.13,0.00,0.00
69,PURBL,-,72,72,72,72,72.00,150,72,"10,800",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,RDBL,-,95,94,94,94,94.00,287,95,"26,978",1,-1.00,0.00,-1.05,0.00,0.00,0.00,0.00
71,SANIMA,-,245,255,246,255,247.08,627,245,"154,918",8,10.00,9.00,4.08,3.66,3.11,0.00,0.00
72,SBI,-,821,830,818,820,819.60,"1,279",821,"1,048,266",10,-1.00,12.00,-0.12,1.47,0.05,0.00,0.00
73,SBL,-,297,299,288,293,291.91,"2,862",297,"835,454",16,-4.00,11.00,-1.35,3.82,0.37,0.00,0.00
74,SCB,-,1825,1826,1800,1826,"1,802.72",277,1825,"499,354",4,1.00,26.00,0.05,1.44,1.27,0.00,0.00
75,SEWA,-,98,99,97,99,98.24,667,98,"65,529",13,1.00,2.00,1.02,2.06,0.76,0.00,0.00
76,SFL,-,114,112,110,110,111.00,158,114,"17,538",2,-4.00,2.00,-3.51,1.82,-0.91,0.00,0.00
77,SHL,-,292,294,290,290,291.78,549,292,"160,186",2,-2.00,4.00,-0.68,1.38,-0.61,0.00,0.00
78,SIC,-,610,598,570,570,578.29,147,610,"85,009",6,-40.00,28.00,-6.56,4.91,-1.45,0.00,0.00
79,SICL,-,391,398,398,398,398.00,10,391,"3,980",1,7.00,0.00,1.79,0.00,0.00,0.00,0.00
80,SIFC,-,177,177,177,177,177.00,160,177,"28,320",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,SIGS1,-,10,10,10,10,10.10,"37,420",10,"377,824",14,0.00,0.00,0.00,0.00,-0.97,0.00,0.00
82,SIL,-,224,224,224,224,224.00,70,224,"15,680",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,SLBBL,-,180,189,183,185,185.33,212,180,"39,291",7,5.00,6.00,2.78,3.28,-0.18,0.00,0.00
84,SLICL,-,160,163,160,162,161.46,708,160,"114,316",9,2.00,3.00,1.25,1.88,0.33,0.00,0.00
85,SMFDB,-,197,200,197,200,198.50,34,197,"6,749",2,3.00,3.00,1.52,1.52,0.75,0.00,0.00
86,SODBL,-,51,52,52,52,52.00,500,51,"26,000",1,1.00,0.00,1.96,0.00,0.00,0.00,0.00
87,SRBL,-,215,218,214,216,215.67,"2,125",215,"458,302",21,1.00,4.00,0.47,1.87,0.15,0.00,0.00
88,SUBBL,-,105,104,104,104,104.00,75,105,"7,800",1,-1.00,0.00,-0.95,0.00,0.00,0.00,0.00
89,SUPRME,-,69,71,70,70,70.16,"1,674",69,"117,450",15,1.00,1.00,1.45,1.43,-0.23,0.00,0.00
90,SWBBL,-,300,294,294,294,294.00,68,300,"19,992",1,-6.00,0.00,-2.00,0.00,0.00,0.00,0.00
91,TBBL,-,133,134,132,134,132.52,198,133,"26,238",3,1.00,2.00,0.75,1.52,1.11,0.00,0.00
92,TDBL,-,85,86,83,86,84.16,"1,530",85,"128,770",7,1.00,3.00,1.18,3.61,2.14,0.00,0.00
93,UFIL,-,81,86,82,85,84.79,700,81,"59,350",31,4.00,4.00,4.94,4.88,0.25,0.00,0.00
94,UFL,-,138,138,138,138,138.00,117,138,"16,146",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,UNL,-,10000,10000,10000,10000,"10,000.00",40,10000,"400,000",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,ZFL,-,91,92,90,92,90.63,696,91,"63,078",18,1.00,2.00,1.10,2.22,1.49,0.00,0.00
