S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,108,110,109,109,109.42,502,108,"54,927",3,1.00,1.00,0.93,0.92,-0.38,0.00,0.00
2,ADBL,-,204,204,200,202,201.11,"2,914",204,"586,023",32,-2.00,4.00,-0.98,2.00,0.44,0.00,0.00
3,AHPC,-,270,276,270,276,271.87,"1,926",270,"523,626",25,6.00,6.00,2.22,2.22,1.50,0.00,0.00
4,AIC,-,134,132,132,132,132.00,751,134,"99,132",2,-2.00,0.00,-1.49,0.00,0.00,0.00,0.00
5,ALDBL,-,83,83,82,83,82.43,70,83,"5,770",3,0.00,1.00,0.00,1.22,0.69,0.00,0.00
6,ALICL,-,235,235,223,232,231.85,"3,094",235,"717,338",17,-3.00,12.00,-1.28,5.38,0.07,0.00,0.00
7,AXIS,-,77,76,72,72,73.22,"3,754",77,"274,878",13,-5.00,4.00,-6.49,5.56,-1.70,0.00,0.00
8,BOK,-,540,540,530,535,531.97,"13,853",540,"7,369,380",77,-5.00,10.00,-0.93,1.89,0.57,0.00,0.00
9,BPCL,-,775,788,780,788,784.55,176,775,"138,080",2,13.00,8.00,1.68,1.03,0.44,0.00,0.00
10,BSBL,-,125,127,125,125,125.86,"3,204",125,"403,256",23,0.00,2.00,0.00,1.60,-0.69,0.00,0.00
11,BUDBL,-,94,96,95,96,95.03,"1,425",94,"135,420",2,2.00,1.00,2.13,1.05,1.01,0.00,0.00
12,CBL,-,145,148,145,147,146.18,"5,263",145,"769,363",28,2.00,3.00,1.38,2.07,0.56,0.00,0.00
13,CDBL,-,171,168,166,166,167.00,52,171,"8,684",3,-5.00,2.00,-2.92,1.20,-0.60,0.00,0.00
14,CEDBL,-,147,149,145,149,147.31,"1,082",147,"159,394",4,2.00,4.00,1.36,2.76,1.13,0.00,0.00
15,CHCL,-,1139,1144,1126,1130,"1,132.19","9,331",1139,"10,564,480",29,-9.00,18.00,-0.79,1.60,-0.19,0.00,0.00
16,CIT,-,1535,1540,1535,1535,"1,538.51",57,1535,"87,695",2,0.00,5.00,0.00,0.33,-0.23,0.00,0.00
17,CNDBL,-,75,76,74,74,75.64,"6,420",75,"485,590",102,-1.00,2.00,-1.33,2.70,-2.21,0.00,0.00
18,CTBNL,-,142,144,140,143,142.74,"12,890",142,"1,839,923",114,1.00,4.00,0.70,2.86,0.18,0.00,0.00
19,CZBIL,-,244,254,245,246,246.13,"3,576",244,"880,171",26,2.00,9.00,0.82,3.67,-0.05,0.00,0.00
20,EBL,-,1525,1530,1515,1515,"1,517.03","17,264",1525,"26,189,940",61,-10.00,15.00,-0.66,0.99,-0.13,0.00,0.00
21,EBLCP,-,803,802,787,802,788.29,140,803,"110,360",2,-1.00,15.00,-0.12,1.91,1.71,0.00,0.00
22,EIC,-,264,259,245,245,249.26,116,264,"28,914",4,-19.00,14.00,-7.20,5.71,-1.74,0.00,0.00
23,GBBL,-,172,174,170,170,173.77,"2,264",172,"393,408",5,-2.00,4.00,-1.16,2.35,-2.22,0.00,0.00
24,GRAND,-,174,171,170,171,170.69,"1,226",174,"209,263",3,-3.00,1.00,-1.72,0.59,0.18,0.00,0.00
25,GSDBL,-,73,73,73,73,73.00,11,73,803,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,HBL,-,700,690,676,676,683.61,305,700,"208,500",4,-24.00,14.00,-3.43,2.07,-1.13,0.00,0.00
27,ICFC,-,120,120,113,113,115.46,"6,625",120,"764,936",25,-7.00,7.00,-5.83,6.19,-2.18,0.00,0.00
28,NBIL,-,43,42,42,42,41.83,"2,050",43,"85,750",3,-1.00,0.00,-2.33,0.00,0.41,0.00,0.00
29,ILFC,-,134,134,126,132,128.63,"37,096",134,"4,771,710",53,-2.00,8.00,-1.49,6.35,2.55,0.00,0.00
30,JBBL,-,77,80,76,79,78.03,"10,310",77,"804,470",49,2.00,4.00,2.60,5.26,1.23,0.00,0.00
31,JBNL,-,161,162,159,162,159.87,"8,421",161,"1,346,298",23,1.00,3.00,0.62,1.89,1.31,0.00,0.00
32,JFL,-,218,222,220,222,220.18,110,218,"24,220",2,4.00,2.00,1.83,0.91,0.82,0.00,0.00
33,KADBL,-,114,112,112,112,112.00,41,114,"4,592",1,-2.00,0.00,-1.75,0.00,0.00,0.00,0.00
34,KAFIL,-,98,99,99,99,99.00,84,98,"8,316",1,1.00,0.00,1.02,0.00,0.00,0.00,0.00
35,KBBL,-,157,155,154,155,154.39,"2,314",157,"357,256",3,-2.00,1.00,-1.27,0.65,0.39,0.00,0.00
36,KBL,-,246,247,245,245,245.28,"1,016",246,"249,204",10,-1.00,2.00,-0.41,0.82,-0.11,0.00,0.00
37,KDBL,-,80,79,77,77,77.84,409,80,"31,838",9,-3.00,2.00,-3.75,2.60,-1.10,0.00,0.00
38,KMBL,-,124,125,123,123,124.12,250,124,"31,030",4,-1.00,2.00,-0.81,1.63,-0.91,0.00,0.00
39,KRBL,-,54,53,52,52,52.85,410,54,"21,670",8,-2.00,1.00,-3.70,1.92,-1.64,0.00,0.00
40,LBL,-,306,306,300,300,302.05,"2,605",306,"786,830",7,-6.00,6.00,-1.96,2.00,-0.68,0.00,0.00
41,LICN,-,1177,1180,1175,1180,"1,175.32",478,1177,"561,805",3,3.00,5.00,0.25,0.43,0.40,0.00,0.00
42,LUBL,-,183,188,184,188,185.39,"1,006",183,"186,507",7,5.00,4.00,2.73,2.17,1.39,0.00,0.00
43,MBBL,-,76,77,76,77,76.10,200,76,"15,220",6,1.00,1.00,1.32,1.32,1.17,0.00,0.00
44,MBL,-,193,192,189,192,190.11,"5,899",193,"1,121,488",24,-1.00,3.00,-0.52,1.59,0.98,0.00,0.00
45,MDB,-,138,145,136,145,142.36,"2,414",138,"343,668",20,7.00,9.00,5.07,6.62,1.82,0.00,0.00
46,METRO,-,127,127,125,127,126.74,286,127,"36,247",4,0.00,2.00,0.00,1.60,0.21,0.00,0.00
47,MNBBL,-,266,261,261,261,261.00,225,266,"58,725",1,-5.00,0.00,-1.88,0.00,0.00,0.00,0.00
48,NABIL,-,1721,1715,1706,1711,"1,711.93","1,816",1721,"3,108,857",15,-10.00,9.00,-0.58,0.53,-0.05,0.00,0.00
49,NBB,-,301,298,295,297,295.99,"9,093",301,"2,691,430",23,-4.00,3.00,-1.33,1.02,0.34,0.00,0.00
50,NBF1,-,10,10,10,10,10.06,"180,204",10,"1,812,066",23,0.00,0.00,0.00,0.00,-0.56,0.00,0.00
51,NBL,-,162,162,159,162,160.50,200,162,"32,100",2,0.00,3.00,0.00,1.89,0.93,0.00,0.00
52,NCCB,-,214,215,213,213,213.42,960,214,"204,880",3,-1.00,2.00,-0.47,0.94,-0.20,0.00,0.00
53,NGBL,-,118,119,119,119,119.00,34,118,"4,046",1,1.00,0.00,0.85,0.00,0.00,0.00,0.00
54,NIB,-,715,715,700,707,705.90,"6,632",715,"4,681,539",33,-8.00,15.00,-1.12,2.14,0.16,0.00,0.00
55,NLBBL,-,327,330,330,330,330.00,30,327,"9,900",1,3.00,0.00,0.92,0.00,0.00,0.00,0.00
56,NLIC,-,1318,1320,1318,1318,"1,318.16","1,220",1318,"1,608,160",4,0.00,2.00,0.00,0.15,-0.01,0.00,0.00
57,NMB,-,241,241,239,240,240.19,"4,409",241,"1,058,995",11,-1.00,2.00,-0.41,0.84,-0.08,0.00,0.00
58,NTC,-,520,520,514,520,518.07,"1,150",520,"595,780",9,0.00,6.00,0.00,1.17,0.37,0.00,0.00
59,OFL,-,194,197,195,197,195.15,266,194,"51,910",2,3.00,2.00,1.55,1.03,0.94,0.00,0.00
60,PBSL,-,97,96,92,92,94.49,830,97,"78,430",10,-5.00,4.00,-5.15,4.35,-2.71,0.00,0.00
61,PCBL,-,315,318,314,315,314.84,"4,827",315,"1,519,711",39,0.00,4.00,0.00,1.27,0.05,0.00,0.00
62,PDBL,-,198,195,192,192,193.50,200,198,"38,700",2,-6.00,3.00,-3.03,1.56,-0.78,0.00,0.00
63,PLIC,-,250,253,248,250,249.96,162,250,"40,494",4,0.00,5.00,0.00,2.02,0.01,0.00,0.00
64,PURBL,-,73,72,72,72,72.00,70,73,"5,040",3,-1.00,0.00,-1.37,0.00,0.00,0.00,0.00
65,RIBSLP,-,101,101,101,101,101.00,"4,838",101,"488,638",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,RIBSL,-,118,123,116,116,118.53,"1,917",118,"227,220",14,-2.00,7.00,-1.69,6.03,-2.18,0.00,0.00
67,SANIMA,-,245,249,240,246,244.81,"2,991",245,"732,233",20,1.00,9.00,0.41,3.75,0.48,0.00,0.00
68,SBI,-,813,816,811,816,813.03,"2,695",813,"2,191,106",5,3.00,5.00,0.37,0.62,0.36,0.00,0.00
69,SBL,-,288,292,288,290,289.94,"4,271",288,"1,238,325",18,2.00,4.00,0.69,1.39,0.02,0.00,0.00
70,SCB,-,1800,1808,1789,1802,"1,796.43","2,427",1800,"4,359,933",20,2.00,19.00,0.11,1.06,0.31,0.00,0.00
71,SEWA,-,102,102,100,102,100.24,250,102,"25,060",4,0.00,2.00,0.00,2.00,1.73,0.00,0.00
72,SIC,-,575,620,586,620,602.38,80,575,"48,190",6,45.00,34.00,7.83,5.80,2.84,0.00,0.00
73,SIGS1,-,10,10,10,10,10.07,"44,500",10,"448,247",9,0.00,0.00,0.00,0.00,-0.73,0.00,0.00
74,SLBBL,-,153,168,156,168,167.04,314,153,"52,452",6,15.00,12.00,9.80,7.69,0.57,0.00,0.00
75,SLICL,-,161,165,160,164,163.43,935,161,"152,803",11,3.00,5.00,1.86,3.13,0.35,0.00,0.00
76,SODBL,-,49,50,50,50,49.98,500,49,"24,990",1,1.00,0.00,2.04,0.00,0.04,0.00,0.00
77,SRBL,-,213,212,211,211,211.22,978,213,"206,571",18,-2.00,1.00,-0.94,0.47,-0.10,0.00,0.00
78,SUPRMP,-,0,100,100,100,100.00,"36,000",0,"3,600,000",1,100.00,0.00,0.00,0.00,0.00,0.00,0.00
79,SWBBL,-,309,303,297,297,299.00,300,309,"89,700",2,-12.00,6.00,-3.88,2.02,-0.67,0.00,0.00
80,TBBL,-,143,145,138,143,139.43,"8,925",143,"1,244,369",42,0.00,7.00,0.00,5.07,2.50,0.00,0.00
81,TRH,-,124,122,122,122,122.00,330,124,"40,260",2,-2.00,0.00,-1.61,0.00,0.00,0.00,0.00
82,UFL,-,139,140,140,140,140.00,100,139,"14,000",1,1.00,0.00,0.72,0.00,0.00,0.00,0.00
83,UNL,-,10000,10000,10000,10000,"10,000.00",60,10000,"600,000",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,WDBL,-,71,71,68,69,69.04,276,71,"19,056",13,-2.00,3.00,-2.82,4.41,-0.06,0.00,0.00
85,ZFL,-,91,92,92,92,92.00,10,91,920,1,1.00,0.00,1.10,0.00,0.00,0.00,0.00
