S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,202,222,202,214,216.56,"30,339",202,"6,570,141",45,12.00,20.00,5.94,9.90,-1.20,0.00,0.00
2,ADBL,-,402,428,385,400,404.72,"21,081",402,"8,531,937",78,-2.00,43.00,-0.50,11.17,-1.18,0.00,0.00
3,AHPC,-,446,462,430,457,437.35,"36,890",446,"16,133,682",32,11.00,32.00,2.47,7.44,4.30,0.00,0.00
4,AIC,-,470,461,423,424,437.40,"2,520",470,"1,102,253",16,-46.00,38.00,-9.79,8.98,-3.16,0.00,0.00
5,ALDBL,-,130,132,132,132,132.00,10,130,"1,320",1,2.00,0.00,1.54,0.00,0.00,0.00,0.00
6,ALICL,-,797,820,737,751,799.23,"4,251",797,"3,397,532",28,-46.00,83.00,-5.77,11.26,-6.42,0.00,0.00
7,ARDBL,-,117,127,119,125,124.32,"4,090",117,"508,470",22,8.00,8.00,6.84,6.72,0.54,0.00,0.00
8,BOK,-,570,613,570,580,596.03,"31,215",570,"18,605,175",102,10.00,43.00,1.75,7.54,-2.76,0.00,0.00
9,BPCL,-,1100,1150,1045,1045,"1,110.31","11,406",1100,"12,664,171",31,-55.00,105.00,-5.00,10.05,-6.25,0.00,0.00
10,BSBL,-,204,212,200,212,209.69,"1,200",204,"251,625",5,8.00,12.00,3.92,6.00,1.09,0.00,0.00
11,BUDBL,-,149,160,150,155,152.96,"6,060",149,"926,954",20,6.00,10.00,4.03,6.67,1.31,0.00,0.00
12,CBBL,-,980,1018,971,971,988.77,724,980,"715,873",9,-9.00,47.00,-0.92,4.84,-1.83,0.00,0.00
13,CDBL,-,243,248,240,240,244.14,"1,197",243,"292,235",9,-3.00,8.00,-1.23,3.33,-1.72,0.00,0.00
14,CEDBL,-,260,285,260,265,275.42,"18,963",260,"5,222,869",55,5.00,25.00,1.92,9.62,-3.93,0.00,0.00
15,CHCL,-,1515,1610,1505,1507,"1,536.99","11,681",1515,"17,953,569",65,-8.00,105.00,-0.53,6.98,-1.99,0.00,0.00
16,CIT,-,2050,2091,2050,2091,"2,057.01",76,2050,"156,333",2,41.00,41.00,2.00,2.00,1.63,0.00,0.00
17,CNDBL,-,92,94,93,94,93.50,40,92,"3,740",2,2.00,1.00,2.17,1.08,0.53,0.00,0.00
18,CORBL,-,103,103,103,103,103.00,150,103,"15,450",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,CZBIL,-,389,404,368,375,390.82,"10,740",389,"4,197,374",46,-14.00,36.00,-3.60,9.78,-4.22,0.00,0.00
20,DDBL,-,850,919,867,900,901.56,"2,228",850,"2,008,678",8,50.00,52.00,5.88,6.00,-0.17,0.00,0.00
21,EBL,-,1875,1978,1890,1925,"1,934.75","4,501",1875,"8,708,311",40,50.00,88.00,2.67,4.66,-0.51,0.00,0.00
22,EDBL,-,601,620,608,608,612.37,871,601,"533,370",6,7.00,12.00,1.16,1.97,-0.72,0.00,0.00
23,FFCL,-,221,241,225,241,231.27,"1,251",221,"289,319",6,20.00,16.00,9.05,7.11,4.04,0.00,0.00
24,FMDBL,-,513,550,520,540,529.53,"21,657",513,"11,467,999",11,27.00,30.00,5.26,5.77,1.94,0.00,0.00
25,GBBL,-,231,254,235,254,250.02,"1,250",231,"312,520",8,23.00,19.00,9.96,8.09,1.57,0.00,0.00
26,GDBL,-,116,120,118,120,119.00,20,116,"2,380",2,4.00,2.00,3.45,1.69,0.83,0.00,0.00
27,GFCL,-,104,110,106,110,108.00,30,104,"3,240",3,6.00,4.00,5.77,3.77,1.82,0.00,0.00
28,GLICL,-,442,450,415,415,440.07,"6,815",442,"2,999,057",33,-27.00,35.00,-6.11,8.43,-6.04,0.00,0.00
29,GMFIL,-,187,190,190,190,190.00,10,187,"1,900",1,3.00,0.00,1.60,0.00,0.00,0.00,0.00
30,GRAND,-,278,305,278,293,291.35,"30,988",278,"9,028,488",84,15.00,27.00,5.40,9.71,0.56,0.00,0.00
31,GSDBL,-,141,143,142,142,142.18,61,141,"8,673",2,1.00,1.00,0.71,0.70,-0.13,0.00,0.00
32,HAMRO,-,146,150,147,147,148.84,"1,097",146,"163,278",5,1.00,3.00,0.68,2.04,-1.25,0.00,0.00
33,HBL,-,770,817,770,786,794.69,"6,654",770,"5,287,841",34,16.00,47.00,2.08,6.10,-1.11,0.00,0.00
34,HGI,-,531,566,541,560,548.99,"3,334",531,"1,830,326",11,29.00,25.00,5.46,4.62,1.97,0.00,0.00
35,ICFC,-,209,229,213,220,224.38,"3,502",209,"785,786",18,11.00,16.00,5.26,7.51,-1.99,0.00,0.00
36,IDBL,-,111,121,111,111,116.54,"12,256",111,"1,428,294",31,0.00,10.00,0.00,9.01,-4.99,0.00,0.00
37,NBIL,-,57,58,58,58,58.00,240,57,"13,920",4,1.00,0.00,1.75,0.00,0.00,0.00,0.00
38,ILFC,-,178,193,178,181,187.66,"25,818",178,"4,845,079",42,3.00,15.00,1.69,8.43,-3.68,0.00,0.00
39,INDBL,-,89,92,90,92,91.17,"1,888",89,"172,123",3,3.00,2.00,3.37,2.22,0.91,0.00,0.00
