S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,225,228,224,226,225.78,"3,965",225,"895,230",44,1.00,4.00,0.44,1.79,0.10,0.00,0.00
2,AHPC,-,275,280,270,280,274.33,108,275,"29,628",6,5.00,10.00,1.82,3.70,2.02,0.00,0.00
3,ALDBL,-,92,93,93,93,93.00,10,92,930,1,1.00,0.00,1.09,0.00,0.00,0.00,0.00
4,ALICL,-,238,252,242,251,247.34,"6,002",238,"1,484,555",20,13.00,10.00,5.46,4.13,1.46,0.00,0.00
5,AXIS,-,80,80,78,79,79.34,"1,995",80,"158,290",12,-1.00,2.00,-1.25,2.56,-0.43,0.00,0.00
6,BOK,-,602,606,600,603,601.08,"6,866",602,"4,127,020",24,1.00,6.00,0.17,1.00,0.32,0.00,0.00
7,BPCL,-,761,776,770,770,771.21,970,761,"748,070",6,9.00,6.00,1.18,0.78,-0.16,0.00,0.00
8,BSBL,-,123,121,121,121,121.00,170,123,"20,570",3,-2.00,0.00,-1.63,0.00,0.00,0.00,0.00
9,CBBL,-,494,503,503,503,503.00,12,494,"6,036",1,9.00,0.00,1.82,0.00,0.00,0.00,0.00
10,CBL,-,150,151,150,150,150.22,"14,056",150,"2,111,471",40,0.00,1.00,0.00,0.67,-0.15,0.00,0.00
11,CDBL,-,166,168,165,168,166.92,145,166,"24,204",5,2.00,3.00,1.20,1.82,0.64,0.00,0.00
12,CEDBL,-,159,162,159,159,159.60,170,159,"27,132",2,0.00,3.00,0.00,1.89,-0.38,0.00,0.00
13,CHCL,-,1151,1165,1135,1151,"1,150.53","6,943",1151,"7,988,098",44,0.00,30.00,0.00,2.64,0.04,0.00,0.00
14,CIT,-,1590,1610,1575,1575,"1,594.05",116,1590,"184,910",3,-15.00,35.00,-0.94,2.22,-1.21,0.00,0.00
15,CMBSL,-,104,102,102,102,102.00,100,104,"10,200",1,-2.00,0.00,-1.92,0.00,0.00,0.00,0.00
16,CNDBL,-,60,62,60,61,60.91,640,60,"38,980",17,1.00,2.00,1.67,3.33,0.15,0.00,0.00
17,CTBNL,-,145,146,144,145,144.72,"39,233",145,"5,677,742",160,0.00,2.00,0.00,1.39,0.19,0.00,0.00
18,CZBIL,-,256,256,253,253,254.50,"1,298",256,"330,346",15,-3.00,3.00,-1.17,1.19,-0.59,0.00,0.00
19,EBL,-,1550,1559,1550,1555,"1,551.29","2,297",1550,"3,563,317",12,5.00,9.00,0.32,0.58,0.24,0.00,0.00
