S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,120,119,116,116,117.38,650,120,"76,300",6,-4.00,3.00,-3.33,2.59,-1.19,0.00,0.00
2,ADBL,-,220,219,213,219,216.42,"3,960",220,"857,015",34,-1.00,6.00,-0.45,2.82,1.18,0.00,0.00
3,AHPC,-,280,280,277,279,278.19,"1,171",280,"325,756",7,-1.00,3.00,-0.36,1.08,0.29,0.00,0.00
4,ALICL,-,249,253,247,248,249.10,989,249,"246,364",17,-1.00,6.00,-0.40,2.43,-0.45,0.00,0.00
5,AXIS,-,88,87,86,86,86.32,136,88,"11,740",3,-2.00,1.00,-2.27,1.16,-0.38,0.00,0.00
6,BOK,-,595,606,580,590,589.19,"7,843",595,"4,621,032",39,-5.00,26.00,-0.84,4.48,0.14,0.00,0.00
7,BPCL,-,798,800,799,799,799.17,120,798,"95,900",2,1.00,1.00,0.13,0.13,-0.02,0.00,0.00
8,BSBL,-,129,127,125,126,125.25,670,129,"83,916",4,-3.00,2.00,-2.33,1.60,0.60,0.00,0.00
9,CBBL,-,518,528,518,518,521.08,130,518,"67,740",2,0.00,10.00,0.00,1.93,-0.59,0.00,0.00
10,CBL,-,152,153,148,149,150.41,"5,976",152,"898,841",19,-3.00,5.00,-1.97,3.38,-0.95,0.00,0.00
11,CDBL,-,182,185,182,182,183.01,117,182,"21,412",3,0.00,3.00,0.00,1.65,-0.55,0.00,0.00
12,CEDBL,-,155,159,155,159,155.22,666,155,"103,378",4,4.00,4.00,2.58,2.58,2.38,0.00,0.00
13,CHCL,-,1325,1330,1235,1297,"1,272.86","4,790",1325,"6,097,010",50,-28.00,95.00,-2.11,7.69,1.86,0.00,0.00
14,CIT,-,1175,1180,1180,1180,"1,180.00",45,1175,"53,100",1,5.00,0.00,0.43,0.00,0.00,0.00,0.00
15,CMBSL,-,92,88,87,87,87.01,670,92,"58,300",2,-5.00,1.00,-5.43,1.15,-0.02,0.00,0.00
16,CNDBL,-,76,75,75,75,75.00,830,76,"62,250",29,-1.00,0.00,-1.32,0.00,0.00,0.00,0.00
17,CTBNL,-,147,147,145,146,145.99,"4,575",147,"667,917",61,-1.00,2.00,-0.68,1.38,0.00,0.00,0.00
18,CZBIL,-,281,285,272,280,277.37,"8,632",281,"2,394,218",42,-1.00,13.00,-0.36,4.78,0.94,0.00,0.00
19,CZBILP,-,120,124,122,124,123.28,"100,000",120,"12,328,000",4,4.00,2.00,3.33,1.64,0.58,0.00,0.00
20,EBL,-,1739,1775,1708,1725,"1,734.93","16,392",1739,"28,439,051",129,-14.00,67.00,-0.81,3.92,-0.58,0.00,0.00
21,EBLCP,-,870,887,887,887,887.00,20,870,"17,740",1,17.00,0.00,1.95,0.00,0.00,0.00,0.00
22,EDBL,-,228,232,232,232,232.00,80,228,"18,560",1,4.00,0.00,1.75,0.00,0.00,0.00,0.00
23,FMDBL,-,180,186,183,186,185.01,148,180,"27,381",2,6.00,3.00,3.33,1.64,0.53,0.00,0.00
24,GBBL,-,165,168,165,168,167.40,110,165,"18,414",3,3.00,3.00,1.82,1.82,0.36,0.00,0.00
25,GDBL,-,121,121,119,119,120.31,320,121,"38,500",3,-2.00,2.00,-1.65,1.68,-1.10,0.00,0.00
26,GLICL,-,150,151,145,148,150.06,"1,960",150,"294,120",9,-2.00,6.00,-1.33,4.14,-1.39,0.00,0.00
27,GRAND,-,195,192,190,190,190.77,"1,515",195,"289,020",6,-5.00,2.00,-2.56,1.05,-0.41,0.00,0.00
28,GRANDP,-,101,101,101,101,101.00,"119,055",101,"12,024,555",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,GSDBL,-,98,97,96,96,96.45,197,98,"19,000",15,-2.00,1.00,-2.04,1.04,-0.47,0.00,0.00
30,HAMA,-,75,74,74,74,74.00,60,75,"4,440",1,-1.00,0.00,-1.33,0.00,0.00,0.00,0.00
31,HBL,-,730,744,730,734,736.62,258,730,"190,048",7,4.00,14.00,0.55,1.92,-0.36,0.00,0.00
32,HFL,-,31,31,31,31,31.00,20,31,620,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,HGI,-,182,185,185,185,185.00,34,182,"6,290",1,3.00,0.00,1.65,0.00,0.00,0.00,0.00
34,ICFC,-,122,120,114,117,116.95,"1,526",122,"178,462",6,-5.00,6.00,-4.10,5.26,0.04,0.00,0.00
35,ILFC,-,160,160,151,154,155.16,"4,687",160,"727,218",22,-6.00,9.00,-3.75,5.96,-0.75,0.00,0.00
36,JBBL,-,80,80,79,79,79.24,500,80,"39,620",10,-1.00,1.00,-1.25,1.27,-0.30,0.00,0.00
37,JBNL,-,172,175,168,171,172.36,"5,874",172,"1,012,437",25,-1.00,7.00,-0.58,4.17,-0.79,0.00,0.00
38,JFL,-,230,230,230,230,230.00,466,230,"107,180",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,KAFIL,-,102,106,104,104,104.17,127,102,"13,230",4,2.00,2.00,1.96,1.92,-0.17,0.00,0.00
40,KBL,-,279,290,270,285,282.98,"19,448",279,"5,503,401",60,6.00,20.00,2.15,7.41,0.71,0.00,0.00
41,KBLPO,-,100,100,100,100,100.00,450,100,"45,000",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,KDBL,-,82,81,78,78,79.19,805,82,"63,747",4,-4.00,3.00,-4.88,3.85,-1.52,0.00,0.00
