S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,216,217,215,215,216.11,906,216,"195,796",12,-1.00,2.00,-0.46,0.93,-0.52,0.00,0.00
2,AHPC,-,263,270,264,270,265.09,"2,557",263,"677,825",8,7.00,6.00,2.66,2.27,1.82,0.00,0.00
3,ALDBL,-,83,84,84,84,84.00,40,83,"3,360",4,1.00,0.00,1.20,0.00,0.00,0.00,0.00
4,ALICL,-,241,244,240,244,241.11,"16,029",241,"3,864,735",26,3.00,4.00,1.24,1.67,1.18,0.00,0.00
5,AXIS,-,85,90,84,90,88.88,"1,593",85,"141,585",19,5.00,6.00,5.88,7.14,1.25,0.00,0.00
6,BOK,-,555,565,547,555,555.10,"3,840",555,"2,131,569",21,0.00,18.00,0.00,3.29,-0.02,0.00,0.00
7,BPCL,-,785,775,770,775,772.13,704,785,"543,580",4,-10.00,5.00,-1.27,0.65,0.37,0.00,0.00
8,BSBL,-,119,121,119,119,120.24,525,119,"63,127",15,0.00,2.00,0.00,1.68,-1.04,0.00,0.00
9,BUDBL,-,102,109,104,109,106.81,191,102,"20,400",7,7.00,5.00,6.86,4.81,2.01,0.00,0.00
10,CBBL,-,527,536,526,536,529.44,61,527,"32,296",3,9.00,10.00,1.71,1.90,1.22,0.00,0.00
11,CBL,-,149,152,148,151,150.37,"4,115",149,"618,792",19,2.00,4.00,1.34,2.70,0.41,0.00,0.00
12,CDBL,-,163,163,160,162,162.11,303,163,"49,120",6,-1.00,3.00,-0.61,1.88,-0.07,0.00,0.00
13,CEDBL,-,155,155,153,153,153.71,482,155,"74,086",2,-2.00,2.00,-1.29,1.31,-0.46,0.00,0.00
14,CHCL,-,1139,1175,1146,1160,"1,153.38","8,730",1139,"10,069,004",44,21.00,29.00,1.84,2.53,0.57,0.00,0.00
15,CIT,-,1185,1185,1185,1185,"1,185.00",93,1185,"110,205",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,CMBSL,-,84,92,85,91,89.10,105,84,"9,355",9,7.00,7.00,8.33,8.24,2.09,0.00,0.00
17,CNDBL,-,75,76,75,75,75.48,"2,720",75,"205,310",48,0.00,1.00,0.00,1.33,-0.64,0.00,0.00
18,CTBNL,-,145,146,143,145,144.44,"11,421",145,"1,649,670",98,0.00,3.00,0.00,2.10,0.38,0.00,0.00
19,CZBIL,-,260,268,258,268,262.72,"2,245",260,"589,815",13,8.00,10.00,3.08,3.88,1.97,0.00,0.00
20,DDBL,-,375,380,375,375,377.49,201,375,"75,875",2,0.00,5.00,0.00,1.33,-0.66,0.00,0.00
21,EBL,-,1570,1616,1575,1596,"1,580.60","4,739",1570,"7,490,486",24,26.00,41.00,1.66,2.60,0.96,0.00,0.00
22,EBLCP,-,839,886,847,869,868.14,260,839,"225,716",9,30.00,39.00,3.58,4.60,0.10,0.00,0.00
23,FMDBL,-,171,171,168,171,168.93,287,171,"48,483",2,0.00,3.00,0.00,1.79,1.21,0.00,0.00
24,GBBL,-,155,158,156,158,157.64,182,155,"28,690",3,3.00,2.00,1.94,1.28,0.23,0.00,0.00
25,GLICL,-,150,150,148,150,149.37,630,150,"94,100",2,0.00,2.00,0.00,1.35,0.42,0.00,0.00
26,GRAND,-,181,184,178,180,180.08,"2,254",181,"405,901",10,-1.00,6.00,-0.55,3.37,-0.04,0.00,0.00
27,GSDBL,-,77,78,77,77,77.29,263,77,"20,328",24,0.00,1.00,0.00,1.30,-0.38,0.00,0.00
28,HBL,-,690,702,700,700,700.27,113,690,"79,130",4,10.00,2.00,1.45,0.29,-0.04,0.00,0.00
29,HFL,-,42,41,39,39,40.05,40,42,"1,602",3,-2.00,2.00,-4.76,5.13,-2.69,0.00,0.00
30,ICFC,-,122,120,120,120,120.00,10,122,"1,200",1,-2.00,0.00,-1.64,0.00,0.00,0.00,0.00
31,NBIL,-,60,64,61,64,61.89,720,60,"44,560",5,4.00,3.00,6.67,4.92,3.30,0.00,0.00
32,ILFC,-,144,146,143,143,143.88,"2,838",144,"408,322",6,-1.00,3.00,-0.69,2.10,-0.61,0.00,0.00
33,JBBL,-,81,81,78,78,79.81,370,81,"29,530",15,-3.00,3.00,-3.70,3.85,-2.32,0.00,0.00
34,JBNL,-,170,170,167,169,168.70,359,170,"60,565",4,-1.00,3.00,-0.59,1.80,0.17,0.00,0.00
35,KBL,-,249,255,250,253,253.21,"3,584",249,"907,506",13,4.00,5.00,1.61,2.00,-0.08,0.00,0.00
36,KDBL,-,76,78,76,78,77.65,256,76,"19,878",8,2.00,2.00,2.63,2.63,0.45,0.00,0.00
37,KMBL,-,125,124,123,124,123.60,100,125,"12,360",4,-1.00,1.00,-0.80,0.81,0.32,0.00,0.00
38,LBL,-,308,314,304,314,308.59,"4,808",308,"1,483,682",14,6.00,10.00,1.95,3.29,1.72,0.00,0.00
39,LICN,-,1270,1320,1290,1308,"1,301.99",194,1270,"252,586",7,38.00,30.00,2.99,2.33,0.46,0.00,0.00
40,LUBL,-,196,205,199,200,200.35,"6,134",196,"1,228,967",19,4.00,6.00,2.04,3.02,-0.18,0.00,0.00
41,MBL,-,204,212,204,205,206.68,"5,834",204,"1,205,758",19,1.00,8.00,0.49,3.92,-0.82,0.00,0.00
42,METRO,-,124,125,125,125,125.00,34,124,"4,250",2,1.00,0.00,0.81,0.00,0.00,0.00,0.00
43,MNBBL,-,265,270,265,265,266.93,228,265,"60,860",5,0.00,5.00,0.00,1.89,-0.73,0.00,0.00
44,MPFL,-,58,59,59,59,59.00,20,58,"1,180",1,1.00,0.00,1.72,0.00,0.00,0.00,0.00
45,NABIL,-,1779,1809,1780,1805,"1,797.12","5,003",1779,"8,991,000",29,26.00,29.00,1.46,1.63,0.44,0.00,0.00
46,NABILP,-,1081,1095,1080,1085,"1,083.12","3,243",1081,"3,512,554",11,4.00,15.00,0.37,1.39,0.17,0.00,0.00
