S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,107,108,105,108,106.28,"5,187",107,"551,286",11,1.00,3.00,0.93,2.86,1.59,0.00,0.00
2,ADBL,-,223,239,225,235,229.47,"8,468",223,"1,943,122",38,12.00,14.00,5.38,6.22,2.35,0.00,0.00
3,AHPC,-,280,285,275,277,278.82,387,280,"107,903",11,-3.00,10.00,-1.07,3.64,-0.66,0.00,0.00
4,ALICL,-,211,221,211,221,219.75,"1,894",211,"416,200",8,10.00,10.00,4.74,4.74,0.57,0.00,0.00
5,AXIS,-,74,73,69,70,69.93,"1,204",74,"84,198",17,-4.00,4.00,-5.41,5.80,0.10,0.00,0.00
6,BBC,-,1730,1764,1764,1764,"1,764.00",10,1730,"17,640",1,34.00,0.00,1.97,0.00,0.00,0.00,0.00
7,BOK,-,605,608,600,605,604.26,"2,874",605,"1,736,636",21,0.00,8.00,0.00,1.33,0.12,0.00,0.00
8,BPCL,-,765,770,770,770,770.00,100,765,"77,000",1,5.00,0.00,0.65,0.00,0.00,0.00,0.00
9,BSBL,-,129,131,130,130,130.17,120,129,"15,620",2,1.00,1.00,0.78,0.77,-0.13,0.00,0.00
10,BUDBL,-,102,101,100,101,100.13,778,102,"77,898",3,-1.00,1.00,-0.98,1.00,0.87,0.00,0.00
11,CBBL,-,428,428,428,428,428.00,158,428,"67,624",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,CBL,-,152,152,150,152,151.13,"19,123",152,"2,890,121",93,0.00,2.00,0.00,1.33,0.57,0.00,0.00
13,CDBL,-,172,172,168,168,169.27,588,172,"99,531",25,-4.00,4.00,-2.33,2.38,-0.76,0.00,0.00
14,CEDBL,-,152,155,150,153,151.60,"1,622",152,"245,902",15,1.00,5.00,0.66,3.33,0.91,0.00,0.00
15,CHCL,-,1137,1138,1132,1137,"1,136.65","2,082",1137,"2,366,502",35,0.00,6.00,0.00,0.53,0.03,0.00,0.00
16,CIT,-,1366,1400,1375,1380,"1,379.56",318,1366,"438,700",3,14.00,25.00,1.02,1.82,0.03,0.00,0.00
17,CNDBL,-,59,59,59,59,59.00,110,59,"6,490",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,CTBNL,-,143,149,142,144,143.32,"35,474",143,"5,084,143",236,1.00,7.00,0.70,4.93,0.47,0.00,0.00
19,CZBIL,-,255,254,250,253,251.76,"1,895",255,"477,090",17,-2.00,4.00,-0.78,1.60,0.49,0.00,0.00
20,DDBL,-,340,346,343,344,343.87,"1,731",340,"595,234",3,4.00,3.00,1.18,0.87,0.04,0.00,0.00
21,EBL,-,1551,1559,1542,1551,"1,548.99","2,425",1551,"3,756,302",28,0.00,17.00,0.00,1.10,0.13,0.00,0.00
22,EBLCP,-,815,830,814,814,816.00,248,815,"202,368",9,-1.00,16.00,-0.12,1.97,-0.25,0.00,0.00
23,GLICL,-,155,158,152,155,155.56,"2,260",155,"351,560",16,0.00,6.00,0.00,3.95,-0.36,0.00,0.00
24,GRAND,-,184,190,183,184,184.50,"1,823",184,"336,345",9,0.00,7.00,0.00,3.83,-0.27,0.00,0.00
25,GSDBL,-,68,70,68,70,68.63,88,68,"6,039",8,2.00,2.00,2.94,2.94,1.96,0.00,0.00
26,GULMI,-,135,139,137,139,138.00,102,135,"14,076",2,4.00,2.00,2.96,1.46,0.72,0.00,0.00
27,ARUN,-,45,50,45,50,46.04,"1,240",45,"57,092",8,5.00,5.00,11.11,11.11,7.92,0.00,0.00
28,HBL,-,725,730,727,730,729.06,486,725,"354,322",3,5.00,3.00,0.69,0.41,0.13,0.00,0.00
29,ICFC,-,118,118,118,118,118.00,346,118,"40,828",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,ILFC,-,116,114,108,111,109.02,"3,901",116,"425,291",8,-5.00,6.00,-4.31,5.56,1.78,0.00,0.00
31,JBBL,-,77,76,75,75,75.63,80,77,"6,050",3,-2.00,1.00,-2.60,1.33,-0.83,0.00,0.00
32,JBNL,-,167,169,166,169,167.19,"2,101",167,"351,271",11,2.00,3.00,1.20,1.81,1.07,0.00,0.00
33,KADBL,-,116,120,116,120,117.78,"1,581",116,"186,212",5,4.00,4.00,3.45,3.45,1.85,0.00,0.00
