S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,306,305,300,302,302.33,"16,004",306,"4,838,468",15,-4.00,5.00,-1.31,1.67,-0.11,0.00,0.00
2,ADBL,-,440,450,440,450,442.74,511,440,"226,240",5,10.00,10.00,2.27,2.27,1.61,0.00,0.00
3,AHPC,-,275,274,267,274,269.80,"4,193",275,"1,131,256",7,-1.00,7.00,-0.36,2.62,1.53,0.00,0.00
4,ALICL,-,1130,1130,1110,1120,"1,125.71",473,1130,"532,462",5,-10.00,20.00,-0.88,1.80,-0.51,0.00,0.00
5,APEX,-,147,150,147,147,148.04,"3,504",147,"518,720",9,0.00,3.00,0.00,2.04,-0.71,0.00,0.00
6,ARDBL,-,195,195,192,195,194.36,486,195,"94,458",5,0.00,3.00,0.00,1.56,0.33,0.00,0.00
7,BFCL,-,131,133,129,131,131.05,"2,992",131,"392,116",22,0.00,4.00,0.00,3.10,-0.04,0.00,0.00
8,BGDBL,-,283,285,285,285,285.00,200,283,"57,000",1,2.00,0.00,0.71,0.00,0.00,0.00,0.00
9,BLDBL,-,385,378,370,372,370.39,882,385,"326,684",4,-13.00,8.00,-3.38,2.16,0.43,0.00,0.00
10,BOK,-,610,605,595,605,600.05,"11,650",610,"6,990,608",55,-5.00,10.00,-0.82,1.68,0.82,0.00,0.00
11,BUDBL,-,259,260,256,260,259.11,"1,397",259,"361,980",2,1.00,4.00,0.39,1.56,0.34,0.00,0.00
12,CBBL,-,1785,1790,1760,1780,"1,778.97","2,210",1785,"3,931,527",27,-5.00,30.00,-0.28,1.70,0.06,0.00,0.00
13,CBL,-,283,283,273,280,277.97,"11,097",283,"3,084,628",28,-3.00,10.00,-1.06,3.66,0.73,0.00,0.00
14,CCBL,-,334,330,317,330,322.73,"2,623",334,"846,509",23,-4.00,13.00,-1.20,4.10,2.20,0.00,0.00
15,CFCL,-,260,260,255,260,258.17,"3,304",260,"852,989",9,0.00,5.00,0.00,1.96,0.70,0.00,0.00
16,CHCL,-,1405,1396,1385,1390,"1,390.53","6,100",1405,"8,482,254",51,-15.00,11.00,-1.07,0.79,-0.04,0.00,0.00
17,CZBIL,-,550,550,537,545,542.53,"8,602",550,"4,666,866",32,-5.00,13.00,-0.91,2.42,0.45,0.00,0.00
18,DDBL,-,1760,1740,1700,1725,"1,721.86","1,207",1760,"2,078,280",6,-35.00,40.00,-1.99,2.35,0.18,0.00,0.00
19,DIYALO,-,210,230,214,230,222.00,50,210,"11,100",5,20.00,16.00,9.52,7.48,3.48,0.00,0.00
20,EBL,-,3236,3250,3150,3220,"3,194.42","10,111",3236,"32,298,738",82,-16.00,100.00,-0.49,3.17,0.79,0.00,0.00
21,EFL,-,200,200,196,196,196.67,600,200,"118,000",2,-4.00,4.00,-2.00,2.04,-0.34,0.00,0.00
22,FMDBL,-,624,620,612,620,615.10,817,624,"502,540",4,-4.00,8.00,-0.64,1.31,0.79,0.00,0.00
