S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,426,426,418,423,423.55,"1,700",426,"720,030",9,-3.00,8.00,-0.70,1.91,-0.13,0.00,0.00
2,AHPC,-,328,334,322,329,325.00,"2,616",328,"850,207",10,1.00,12.00,0.30,3.73,1.21,0.00,0.00
3,ALDBL,-,311,312,308,312,310.56,370,311,"114,909",11,1.00,4.00,0.32,1.30,0.46,0.00,0.00
4,ALICL,-,950,950,913,940,935.37,"2,123",950,"1,985,780",10,-10.00,37.00,-1.05,4.05,0.49,0.00,0.00
5,APEX,-,123,123,120,121,120.81,"3,815",123,"460,896",15,-2.00,3.00,-1.63,2.50,0.16,0.00,0.00
6,ARDBL,-,177,174,174,174,174.00,177,177,"30,798",4,-3.00,0.00,-1.69,0.00,0.00,0.00,0.00
7,BBC,-,2260,2280,2280,2280,"2,280.00",46,2260,"104,880",1,20.00,0.00,0.88,0.00,0.00,0.00,0.00
8,BHBL,-,270,275,271,271,272.33,300,270,"81,700",3,1.00,4.00,0.37,1.48,-0.49,0.00,0.00
9,BLDBL,-,325,319,314,314,316.88,191,325,"60,524",2,-11.00,5.00,-3.38,1.59,-0.92,0.00,0.00
10,BOK,-,568,575,559,564,563.79,"13,728",568,"7,739,721",46,-4.00,16.00,-0.70,2.86,0.04,0.00,0.00
11,BPCL,-,620,610,601,601,608.81,"3,463",620,"2,108,310",10,-19.00,9.00,-3.06,1.50,-1.30,0.00,0.00
12,BUDBL,-,198,199,195,198,196.68,"5,913",198,"1,162,947",14,0.00,4.00,0.00,2.05,0.67,0.00,0.00
13,CBBL,-,1670,1670,1646,1655,"1,653.03","1,287",1670,"2,127,450",9,-15.00,24.00,-0.90,1.46,0.12,0.00,0.00
14,CBL,-,275,278,268,268,271.46,"17,812",275,"4,835,253",81,-7.00,10.00,-2.55,3.73,-1.29,0.00,0.00
15,CCBL,-,315,316,310,315,312.32,"5,583",315,"1,743,709",103,0.00,6.00,0.00,1.94,0.85,0.00,0.00
16,CDBL,-,331,339,330,335,334.28,"1,586",331,"530,173",15,4.00,9.00,1.21,2.73,0.21,0.00,0.00
17,CFCL,-,168,168,168,168,168.00,35,168,"5,880",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,CHCL,-,1537,1535,1520,1530,"1,526.59","2,833",1537,"4,324,830",38,-7.00,15.00,-0.46,0.99,0.22,0.00,0.00
19,CSDBL,-,368,361,332,350,341.47,"1,832",368,"625,573",18,-18.00,29.00,-4.89,8.73,2.44,0.00,0.00
20,CZBIL,-,450,455,446,450,448.51,"7,407",450,"3,322,139",30,0.00,9.00,0.00,2.02,0.33,0.00,0.00
21,DDBL,-,1129,1120,1108,1115,"1,117.14","1,782",1129,"1,990,740",10,-14.00,12.00,-1.24,1.08,-0.19,0.00,0.00
22,EBL,-,2042,2045,2025,2025,"2,029.26","4,329",2042,"8,784,669",39,-17.00,20.00,-0.83,0.99,-0.21,0.00,0.00
23,EBLCP,-,989,989,989,989,989.00,84,989,"83,076",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,EKBL,-,282,285,276,279,279.16,"1,065",282,"297,309",9,-3.00,9.00,-1.06,3.26,-0.06,0.00,0.00
25,GBIME,-,455,463,454,460,454.89,"13,343",455,"6,069,594",23,5.00,9.00,1.10,1.98,1.11,0.00,0.00
26,GDBL,-,314,317,315,317,316.45,436,314,"137,974",3,3.00,2.00,0.96,0.63,0.17,0.00,0.00
27,GLICL,-,511,515,507,512,511.47,"1,079",511,"551,873",14,1.00,8.00,0.20,1.58,0.10,0.00,0.00
28,HAMA,-,146,144,144,144,144.00,240,146,"34,560",1,-2.00,0.00,-1.37,0.00,0.00,0.00,0.00
29,HBL,-,810,805,789,800,791.59,"1,386",810,"1,097,146",5,-10.00,16.00,-1.23,2.03,1.05,0.00,0.00
30,ICFC,-,258,256,250,256,252.95,"6,175",258,"1,561,976",16,-2.00,6.00,-0.78,2.40,1.19,0.00,0.00
31,IDBL,-,171,173,169,172,170.95,"3,889",171,"664,843",15,1.00,4.00,0.58,2.37,0.61,0.00,0.00
32,ILFC,-,148,153,147,151,148.63,"10,415",148,"1,548,005",24,3.00,6.00,2.03,4.08,1.57,0.00,0.00
33,INDBL,-,186,188,188,188,188.00,884,186,"166,192",1,2.00,0.00,1.08,0.00,0.00,0.00,0.00
