S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,421,426,418,426,419.31,"1,298",421,"544,264",10,5.00,8.00,1.19,1.91,1.57,0.00,0.00
2,AHPC,-,334,335,323,328,326.87,"4,779",334,"1,562,092",28,-6.00,12.00,-1.80,3.72,0.35,0.00,0.00
3,ALDBL,-,305,312,311,311,311.33,33,305,"10,274",3,6.00,1.00,1.97,0.32,-0.11,0.00,0.00
4,ALICL,-,944,950,950,950,950.00,74,944,"70,300",1,6.00,0.00,0.64,0.00,0.00,0.00,0.00
5,APEX,-,123,126,123,123,123.57,798,123,"98,606",21,0.00,3.00,0.00,2.44,-0.46,0.00,0.00
6,ARDBL,-,178,180,177,177,178.03,265,178,"47,179",5,-1.00,3.00,-0.56,1.69,-0.58,0.00,0.00
7,BBC,-,2280,2260,2260,2260,"2,260.00",100,2280,"226,000",1,-20.00,0.00,-0.88,0.00,0.00,0.00,0.00
8,BGDBL,-,303,298,298,298,298.00,500,303,"149,000",1,-5.00,0.00,-1.65,0.00,0.00,0.00,0.00
9,BHBL,-,273,271,268,270,268.55,"2,650",273,"711,650",4,-3.00,3.00,-1.10,1.12,0.54,0.00,0.00
10,BOK,-,578,575,559,568,567.35,"6,397",578,"3,629,315",26,-10.00,16.00,-1.73,2.86,0.12,0.00,0.00
11,BPCL,-,630,625,613,620,617.68,"1,400",630,"864,750",5,-10.00,12.00,-1.59,1.96,0.37,0.00,0.00
12,BUDBL,-,201,200,197,198,198.52,"1,622",201,"322,000",6,-3.00,3.00,-1.49,1.52,-0.26,0.00,0.00
13,CBBL,-,1662,1700,1666,1670,"1,672.90",736,1662,"1,231,255",7,8.00,34.00,0.48,2.04,-0.17,0.00,0.00
14,CBL,-,278,278,274,275,274.75,"3,149",278,"865,193",13,-3.00,4.00,-1.08,1.46,0.09,0.00,0.00
15,CCBL,-,317,318,314,315,315.01,"12,719",317,"4,006,609",45,-2.00,4.00,-0.63,1.27,-0.00,0.00,0.00
16,CDBL,-,331,333,326,331,329.33,"2,047",331,"674,136",24,0.00,7.00,0.00,2.15,0.50,0.00,0.00
17,CDBLPO,-,170,170,170,170,170.00,"10,000",170,"1,700,000",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,CFCL,-,165,168,164,168,165.11,"3,916",165,"646,587",9,3.00,4.00,1.82,2.44,1.72,0.00,0.00
19,CHCL,-,1540,1570,1530,1537,"1,543.33","3,093",1540,"4,773,518",35,-3.00,40.00,-0.19,2.61,-0.41,0.00,0.00
20,CSDBL,-,375,368,368,368,368.00,44,375,"16,192",1,-7.00,0.00,-1.87,0.00,0.00,0.00,0.00
21,CZBIL,-,458,453,437,450,449.86,"11,204",458,"5,040,252",41,-8.00,16.00,-1.75,3.66,0.03,0.00,0.00
22,DDBL,-,1150,1140,1118,1129,"1,126.65","1,296",1150,"1,460,143",8,-21.00,22.00,-1.83,1.97,0.21,0.00,0.00
23,EBL,-,2050,2045,2030,2042,"2,036.56","3,738",2050,"7,612,660",15,-8.00,15.00,-0.39,0.74,0.27,0.00,0.00
24,EDBL,-,557,568,550,568,551.46,"1,008",557,"555,870",5,11.00,18.00,1.97,3.27,2.91,0.00,0.00
25,EKBL,-,277,285,275,282,279.20,238,277,"66,449",16,5.00,10.00,1.81,3.64,0.99,0.00,0.00
26,FMDBL,-,570,561,561,561,561.00,198,570,"111,078",1,-9.00,0.00,-1.58,0.00,0.00,0.00,0.00
27,GBIME,-,468,479,455,455,464.51,"5,024",468,"2,333,674",23,-13.00,24.00,-2.78,5.27,-2.09,0.00,0.00
28,GDBL,-,316,314,312,314,312.34,922,316,"287,976",2,-2.00,2.00,-0.63,0.64,0.53,0.00,0.00
29,GFCL,-,207,207,203,207,205.46,781,207,"160,467",2,0.00,4.00,0.00,1.97,0.74,0.00,0.00
30,GLICL,-,515,511,510,511,510.96,"5,511",515,"2,815,900",3,-4.00,1.00,-0.78,0.20,0.01,0.00,0.00
31,HAMA,-,148,146,146,146,146.00,230,148,"33,580",4,-2.00,0.00,-1.35,0.00,0.00,0.00,0.00
32,HBL,-,805,810,791,810,804.52,"1,573",805,"1,265,511",6,5.00,19.00,0.62,2.40,0.68,0.00,0.00
33,ICFC,-,264,259,251,258,256.29,"2,400",264,"615,103",7,-6.00,8.00,-2.27,3.19,0.66,0.00,0.00
34,IDBL,-,171,171,166,171,167.87,"4,544",171,"762,798",24,0.00,5.00,0.00,3.01,1.83,0.00,0.00
35,ILFC,-,150,153,147,148,148.45,"8,898",150,"1,320,930",23,-2.00,6.00,-1.33,4.08,-0.31,0.00,0.00
36,INDBL,-,186,189,184,186,185.70,447,186,"83,008",4,0.00,5.00,0.00,2.72,0.16,0.00,0.00
37,JBBL,-,168,168,162,162,164.32,234,168,"38,451",6,-6.00,6.00,-3.57,3.70,-1.43,0.00,0.00
