S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,261,256,249,249,251.64,"1,300",261,"327,138",5,-12.00,7.00,-4.60,2.81,-1.06,0.00,0.00
2,ADBL,-,479,472,461,472,467.29,"4,158",479,"1,942,976",34,-7.00,11.00,-1.46,2.39,1.00,0.00,0.00
3,AHPC,-,344,347,340,345,343.22,"4,619",344,"1,585,337",26,1.00,7.00,0.29,2.06,0.52,0.00,0.00
4,ALDBL,-,336,330,317,321,323.82,"1,454",336,"470,837",55,-15.00,13.00,-4.46,4.10,-0.88,0.00,0.00
5,ALICL,-,1230,1211,1200,1201,"1,201.76","1,159",1230,"1,392,840",5,-29.00,11.00,-2.36,0.92,-0.06,0.00,0.00
6,APEX,-,138,139,136,137,137.21,"2,845",138,"390,373",8,-1.00,3.00,-0.72,2.21,-0.16,0.00,0.00
7,ARDBL,-,193,194,191,193,192.83,396,193,"76,359",3,0.00,3.00,0.00,1.57,0.09,0.00,0.00
8,BLDBL,-,321,324,318,324,320.49,481,321,"154,158",2,3.00,6.00,0.93,1.89,1.08,0.00,0.00
9,BUDBL,-,211,208,208,208,208.00,672,211,"139,776",2,-3.00,0.00,-1.42,0.00,0.00,0.00,0.00
10,CBBL,-,1605,1614,1600,1600,"1,607.45",579,1605,"930,712",3,-5.00,14.00,-0.31,0.88,-0.47,0.00,0.00
11,CBL,-,287,287,285,285,285.13,"3,418",287,"974,567",13,-2.00,2.00,-0.70,0.70,-0.04,0.00,0.00
12,CCBL,-,313,314,310,314,311.93,"2,319",313,"723,359",26,1.00,4.00,0.32,1.29,0.66,0.00,0.00
13,CDBL,-,340,344,335,335,337.73,"1,012",340,"341,779",5,-5.00,9.00,-1.47,2.69,-0.81,0.00,0.00
14,CFCL,-,200,204,198,198,198.89,304,200,"60,462",4,-2.00,6.00,-1.00,3.03,-0.45,0.00,0.00
15,CHCL,-,1612,1680,1606,1617,"1,615.31","5,963",1612,"9,632,105",54,5.00,74.00,0.31,4.61,0.10,0.00,0.00
16,CNDBL,-,179,180,173,177,176.60,"4,970",179,"877,690",104,-2.00,7.00,-1.12,4.05,0.23,0.00,0.00
17,CZBIL,-,450,459,444,448,449.33,"2,811",450,"1,263,065",17,-2.00,15.00,-0.44,3.38,-0.30,0.00,0.00
18,DDBL,-,1204,1240,1225,1230,"1,231.41",291,1204,"358,340",3,26.00,15.00,2.16,1.22,-0.11,0.00,0.00
19,EBL,-,2125,2135,2115,2133,"2,122.07","1,938",2125,"4,112,574",14,8.00,20.00,0.38,0.95,0.51,0.00,0.00
20,EBLCP,-,1058,1060,1060,1060,"1,060.00",36,1058,"38,160",1,2.00,0.00,0.19,0.00,0.00,0.00,0.00
21,EIC,-,865,877,860,877,870.63,80,865,"69,650",2,12.00,17.00,1.39,1.98,0.73,0.00,0.00
22,EKBL,-,292,295,290,290,292.14,171,292,"49,956",8,-2.00,5.00,-0.68,1.72,-0.74,0.00,0.00
23,GBBL,-,328,331,325,326,328.18,554,328,"181,809",6,-2.00,6.00,-0.61,1.85,-0.67,0.00,0.00
24,GBIME,-,448,450,443,445,445.65,"13,516",448,"6,023,461",133,-3.00,7.00,-0.67,1.58,-0.15,0.00,0.00
25,GFCL,-,220,222,222,222,222.00,544,220,"120,768",1,2.00,0.00,0.91,0.00,0.00,0.00,0.00
26,GLICL,-,540,539,538,539,538.93,537,540,"289,406",2,-1.00,1.00,-0.19,0.19,0.01,0.00,0.00
27,HAMA,-,164,165,162,162,163.88,"4,150",164,"680,110",60,-2.00,3.00,-1.22,1.85,-1.16,0.00,0.00
28,HBL,-,839,845,832,835,836.37,"2,007",839,"1,678,591",7,-4.00,13.00,-0.48,1.56,-0.16,0.00,0.00
29,HDL,-,700,700,686,686,689.50,80,700,"55,160",3,-14.00,14.00,-2.00,2.04,-0.51,0.00,0.00
30,INDB,-,409,409,409,409,409.00,257,409,"105,113",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,JBBL,-,174,173,170,173,170.84,558,174,"95,330",6,-1.00,3.00,-0.57,1.76,1.25,0.00,0.00
32,JBNL,-,273,270,270,270,270.00,72,273,"19,440",1,-3.00,0.00,-1.10,0.00,0.00,0.00,0.00
33,JEFL,-,145,143,143,143,143.00,200,145,"28,600",2,-2.00,0.00,-1.38,0.00,0.00,0.00,0.00
34,KAFIL,-,225,226,221,226,222.94,207,225,"46,149",3,1.00,5.00,0.44,2.26,1.35,0.00,0.00
35,KBL,-,385,382,374,380,377.92,"11,327",385,"4,280,650",17,-5.00,8.00,-1.30,2.14,0.55,0.00,0.00
36,KCDBL,-,226,228,228,228,228.00,34,226,"7,752",1,2.00,0.00,0.88,0.00,0.00,0.00,0.00
37,KDBL,-,157,154,149,149,150.57,876,157,"131,900",13,-8.00,5.00,-5.10,3.36,-1.05,0.00,0.00
38,KMBL,-,344,345,334,335,337.57,"1,071",344,"361,539",8,-9.00,11.00,-2.62,3.29,-0.77,0.00,0.00
39,KMCDB,-,1055,1045,1035,1045,"1,036.75","1,374",1055,"1,424,500",4,-10.00,10.00,-0.95,0.97,0.79,0.00,0.00
40,KRBL,-,261,287,266,287,282.94,670,261,"189,570",9,26.00,21.00,9.96,7.89,1.41,0.00,0.00
41,LBL,-,527,533,525,525,529.38,791,527,"418,739",5,-2.00,8.00,-0.38,1.52,-0.83,0.00,0.00
42,LFLC,-,218,218,215,218,217.46,378,218,"82,200",5,0.00,3.00,0.00,1.40,0.25,0.00,0.00
43,LGIL,-,360,360,360,360,360.00,75,360,"27,000",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,LICN,-,2450,2490,2450,2472,"2,475.99",269,2450,"666,042",5,22.00,40.00,0.90,1.63,-0.16,0.00,0.00
45,LLBS,-,865,872,850,872,855.65,438,865,"374,775",13,7.00,22.00,0.81,2.59,1.87,0.00,0.00
46,LUBL,-,356,357,345,355,347.28,"6,608",356,"2,294,843",11,-1.00,12.00,-0.28,3.48,2.17,0.00,0.00
47,MBBL,-,218,226,214,214,220.40,505,218,"111,303",6,-4.00,12.00,-1.83,5.61,-2.99,0.00,0.00
48,MBL,-,570,567,560,567,564.81,"4,193",570,"2,368,259",9,-3.00,7.00,-0.53,1.25,0.39,0.00,0.00
49,MDBL,-,231,235,234,235,234.73,137,231,"32,158",2,4.00,1.00,1.73,0.43,0.11,0.00,0.00
50,METRO,-,345,344,340,340,341.50,"2,000",345,"683,000",3,-5.00,4.00,-1.45,1.18,-0.44,0.00,0.00
51,MNBBL,-,565,575,570,570,570.97,240,565,"137,033",4,5.00,5.00,0.88,0.88,-0.17,0.00,0.00
52,MTBL,-,386,379,379,379,379.00,108,386,"40,932",1,-7.00,0.00,-1.81,0.00,0.00,0.00,0.00
53,NABIL,-,1940,1930,1895,1920,"1,901.34","1,721",1940,"3,272,207",18,-20.00,35.00,-1.03,1.85,0.97,0.00,0.00
54,NABILP,-,1330,1330,1320,1330,"1,324.13","1,916",1330,"2,537,030",10,0.00,10.00,0.00,0.76,0.44,0.00,0.00
55,NBB,-,507,507,498,504,501.36,"4,285",507,"2,148,342",16,-3.00,9.00,-0.59,1.81,0.52,0.00,0.00
56,NBBL,-,1903,1905,1905,1905,"1,905.00",51,1903,"97,155",2,2.00,0.00,0.11,0.00,0.00,0.00,0.00
57,NBF1,-,13,13,13,13,13.25,"10,892",13,"144,325",2,0.00,0.00,0.00,0.00,-1.93,0.00,0.00
58,NBL,-,302,305,300,302,300.24,"49,972",302,"15,003,535",84,0.00,5.00,0.00,1.67,0.58,0.00,0.00
59,NBSL,-,320,322,322,322,322.00,12,320,"3,864",1,2.00,0.00,0.63,0.00,0.00,0.00,0.00
60,NCCB,-,595,590,581,588,586.29,"4,186",595,"2,454,190",15,-7.00,9.00,-1.18,1.55,0.29,0.00,0.00
61,NCDB,-,343,349,349,349,349.00,115,343,"40,135",1,6.00,0.00,1.75,0.00,0.00,0.00,0.00
62,NGBL,-,270,291,275,285,286.06,"2,068",270,"591,568",12,15.00,16.00,5.56,5.82,-0.37,0.00,0.00
63,NHPC,-,125,128,123,125,123.96,"43,150",125,"5,349,000",56,0.00,5.00,0.00,4.07,0.83,0.00,0.00
64,NIB,-,715,708,700,708,702.36,"4,639",715,"3,258,246",23,-7.00,8.00,-0.98,1.14,0.80,0.00,0.00
65,NIBPO,-,499,503,499,500,499.67,"2,400",499,"1,199,200",5,1.00,4.00,0.20,0.80,0.07,0.00,0.00
66,NIBSF1,-,10,10,10,10,9.90,"15,474",10,"153,193",7,0.00,0.00,0.00,0.00,1.00,0.00,0.00
67,NICA,-,668,661,655,661,658.91,96,668,"63,255",3,-7.00,6.00,-1.05,0.92,0.32,0.00,0.00
68,NICL,-,374,380,380,380,380.00,800,374,"304,000",1,6.00,0.00,1.60,0.00,0.00,0.00,0.00
69,NIL,-,588,617,617,617,617.00,20,588,"12,340",1,29.00,0.00,4.93,0.00,0.00,0.00,0.00
70,NLG,-,650,659,659,659,659.00,90,650,"59,310",4,9.00,0.00,1.38,0.00,0.00,0.00,0.00
71,NLIC,-,4435,4441,4409,4413,"4,425.46","4,545",4435,"20,113,695",47,-22.00,32.00,-0.50,0.73,-0.28,0.00,0.00
72,NLICL,-,2200,2204,2195,2200,"2,199.83","2,327",2200,"5,119,008",23,0.00,9.00,0.00,0.41,0.01,0.00,0.00
73,NLO,-,213,213,213,213,213.00,681,213,"145,053",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,NMBSF1,-,10,10,10,10,10.10,"1,500",10,"15,150",1,0.00,0.00,0.00,0.00,-1.00,0.00,0.00
75,NTC,-,604,605,601,604,603.57,"1,190",604,"718,250",7,0.00,4.00,0.00,0.67,0.07,0.00,0.00
76,NUBL,-,1270,1265,1246,1246,"1,257.90",944,1270,"1,187,460",4,-24.00,19.00,-1.89,1.52,-0.96,0.00,0.00
77,OHL,-,721,735,722,725,723.99,"1,520",721,"1,100,470",7,4.00,13.00,0.55,1.80,0.14,0.00,0.00
78,PCBL,-,450,451,446,447,447.79,"2,980",450,"1,334,412",17,-3.00,5.00,-0.67,1.12,-0.18,0.00,0.00
