S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,344,344,335,338,339.95,"2,944",344,"1,000,814",18,-6.00,9.00,-1.74,2.69,-0.58,0.00,0.00
2,ADBL,-,570,590,555,590,565.16,"10,726",570,"6,061,864",37,20.00,35.00,3.51,6.31,4.21,0.00,0.00
3,AHPC,-,300,310,297,298,298.60,"9,010",300,"2,690,356",33,-2.00,13.00,-0.67,4.38,-0.20,0.00,0.00
4,ALDBL,-,470,479,478,479,478.23,130,470,"62,170",3,9.00,1.00,1.91,0.21,0.16,0.00,0.00
5,ALICL,-,1302,1328,1289,1328,"1,309.66","5,240",1302,"6,862,593",24,26.00,39.00,2.00,3.03,1.38,0.00,0.00
6,API,-,500,510,470,485,479.55,"4,728",500,"2,267,292",28,-15.00,40.00,-3.00,8.51,1.12,0.00,0.00
7,ARDBL,-,256,270,255,270,259.03,"5,351",256,"1,386,089",16,14.00,15.00,5.47,5.88,4.06,0.00,0.00
8,BARUN,-,345,345,339,345,342.75,160,345,"54,840",7,0.00,6.00,0.00,1.77,0.65,0.00,0.00
9,BFCL,-,163,160,154,154,157.52,128,163,"20,162",3,-9.00,6.00,-5.52,3.90,-2.28,0.00,0.00
10,BGDBL,-,235,239,239,239,239.00,10,235,"2,390",1,4.00,0.00,1.70,0.00,0.00,0.00,0.00
11,BPCL,-,602,608,600,608,604.26,540,602,"326,300",6,6.00,8.00,1.00,1.33,0.62,0.00,0.00
12,CBBL,-,1863,1850,1825,1840,"1,830.29","2,005",1863,"3,669,731",15,-23.00,25.00,-1.23,1.37,0.53,0.00,0.00
13,CCBL,-,342,342,328,342,334.30,"11,340",342,"3,790,968",53,0.00,14.00,0.00,4.27,2.25,0.00,0.00
14,CHCL,-,1379,1385,1360,1384,"1,374.91","2,057",1379,"2,828,200",16,5.00,25.00,0.36,1.84,0.66,0.00,0.00
15,CIT,-,4320,4360,4300,4343,"4,312.92",363,4320,"1,565,590",9,23.00,60.00,0.53,1.40,0.69,0.00,0.00
16,ILFCM,-,1050,1030,1005,1009,"1,013.12","1,860",1050,"1,884,410",11,-41.00,25.00,-3.90,2.49,-0.41,0.00,0.00
17,CNDBL,-,216,216,212,216,215.19,931,216,"200,342",7,0.00,4.00,0.00,1.89,0.37,0.00,0.00
18,CSDBL,-,418,410,394,401,409.24,"1,090",418,"446,070",5,-17.00,16.00,-4.07,4.06,-2.05,0.00,0.00
19,CZBIL,-,620,620,611,619,617.60,"11,106",620,"6,859,107",51,-1.00,9.00,-0.16,1.47,0.23,0.00,0.00
20,DBBL,-,230,230,222,224,225.49,"13,923",230,"3,139,464",27,-6.00,8.00,-2.61,3.60,-0.66,0.00,0.00
21,DDBL,-,2060,2099,1979,2099,"2,021.28","1,030",2060,"2,081,915",10,39.00,120.00,1.89,6.06,3.70,0.00,0.00
22,EBL,-,2375,2370,2343,2370,"2,356.57","4,241",2375,"9,994,223",32,-5.00,27.00,-0.21,1.15,0.57,0.00,0.00
23,EDBL,-,650,637,637,637,637.00,100,650,"63,700",1,-13.00,0.00,-2.00,0.00,0.00,0.00,0.00
24,EIC,-,1000,1005,980,1005,992.20,600,1000,"595,320",5,5.00,25.00,0.50,2.55,1.27,0.00,0.00
25,FMDBL,-,928,933,875,925,911.66,"2,727",928,"2,486,085",17,-3.00,58.00,-0.32,6.63,1.44,0.00,0.00
26,GBBL,-,347,347,323,342,342.04,"2,104",347,"719,645",18,-5.00,24.00,-1.44,7.43,-0.01,0.00,0.00
27,GBIME,-,461,460,450,455,452.82,"7,191",461,"3,256,224",36,-6.00,10.00,-1.30,2.22,0.48,0.00,0.00
28,NGBBL,-,498,493,449,484,457.20,"15,360",498,"7,022,600",47,-14.00,44.00,-2.81,9.80,5.54,0.00,0.00
