S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,275,275,270,275,270.63,986,275,"266,840",5,0.00,5.00,0.00,1.85,1.59,0.00,0.00
2,ADBL,-,496,488,484,487,486.19,"3,479",496,"1,691,461",19,-9.00,4.00,-1.81,0.83,0.17,0.00,0.00
3,AHPC,-,379,379,368,368,370.37,"2,538",379,"939,992",11,-11.00,11.00,-2.90,2.99,-0.64,0.00,0.00
4,AIC,-,549,539,510,510,521.67,221,549,"115,289",4,-39.00,29.00,-7.10,5.69,-2.29,0.00,0.00
5,ALDBL,-,240,244,240,244,240.18,220,240,"52,840",2,4.00,4.00,1.67,1.67,1.56,0.00,0.00
6,ALICL,-,1225,1225,1203,1203,"1,207.55","6,007",1225,"7,253,775",34,-22.00,22.00,-1.80,1.83,-0.38,0.00,0.00
7,APEX,-,122,124,120,122,121.49,"3,159",122,"383,774",65,0.00,4.00,0.00,3.33,0.42,0.00,0.00
8,ARDBL,-,146,148,145,145,145.44,"3,557",146,"517,332",34,-1.00,3.00,-0.68,2.07,-0.30,0.00,0.00
9,BHBL,-,151,149,147,147,147.86,"3,700",151,"547,100",6,-4.00,2.00,-2.65,1.36,-0.59,0.00,0.00
10,BLDBL,-,460,460,460,460,460.00,51,460,"23,460",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,BPCL,-,670,675,671,674,672.74,633,670,"425,843",3,4.00,4.00,0.60,0.60,0.19,0.00,0.00
12,BSBL,-,281,295,285,288,289.63,"5,216",281,"1,510,734",50,7.00,10.00,2.49,3.51,-0.57,0.00,0.00
13,BUDBL,-,200,209,197,209,204.14,"2,009",200,"410,123",13,9.00,12.00,4.50,6.09,2.32,0.00,0.00
14,CBBL,-,1560,1560,1550,1560,"1,557.10",620,1560,"965,401",7,0.00,10.00,0.00,0.65,0.19,0.00,0.00
15,CBL,-,283,285,280,280,281.67,"5,428",283,"1,528,887",27,-3.00,5.00,-1.06,1.79,-0.60,0.00,0.00
