S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,480,478,466,466,470.68,"8,516",480,"4,008,312",48,-14.00,12.00,-2.92,2.58,-1.00,0.00,0.00
2,AHPC,-,383,400,390,399,398.02,"5,561",383,"2,213,372",23,16.00,10.00,4.18,2.56,0.25,0.00,0.00
3,AIC,-,570,565,540,560,547.17,"7,501",570,"4,104,301",27,-10.00,25.00,-1.75,4.63,2.29,0.00,0.00
4,AICPO,-,100,110,102,110,109.51,"7,684",100,"841,440",5,10.00,8.00,10.00,7.84,0.45,0.00,0.00
5,ALDBL,-,138,136,136,136,136.00,100,138,"13,600",5,-2.00,0.00,-1.45,0.00,0.00,0.00,0.00
6,ALICL,-,705,750,705,750,721.91,702,705,"506,784",13,45.00,45.00,6.38,6.38,3.74,0.00,0.00
7,APEX,-,118,120,116,120,118.44,"4,902",118,"580,587",24,2.00,4.00,1.69,3.45,1.30,0.00,0.00
8,ARDBL,-,123,123,123,123,123.00,70,123,"8,610",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,BOK,-,559,565,552,565,554.42,"10,468",559,"5,803,620",29,6.00,13.00,1.07,2.36,1.87,0.00,0.00
10,BSBL,-,216,220,212,220,215.12,277,216,"59,588",4,4.00,8.00,1.85,3.77,2.22,0.00,0.00
11,BUDBL,-,142,144,142,142,142.21,484,142,"68,828",4,0.00,2.00,0.00,1.41,-0.15,0.00,0.00
12,CBBL,-,800,802,802,802,802.00,40,800,"32,080",1,2.00,0.00,0.25,0.00,0.00,0.00,0.00
13,CDBL,-,340,345,336,345,340.84,783,340,"266,879",14,5.00,9.00,1.47,2.68,1.21,0.00,0.00
14,CEDBL,-,241,246,238,240,240.86,"1,910",241,"460,036",8,-1.00,8.00,-0.41,3.36,-0.36,0.00,0.00
15,CHCL,-,1612,1690,1615,1670,"1,639.85","10,288",1612,"16,870,773",100,58.00,75.00,3.60,4.64,1.81,0.00,0.00
16,CIT,-,3045,3105,3045,3105,"3,063.73",844,3045,"2,585,785",9,60.00,60.00,1.97,1.97,1.33,0.00,0.00
17,CNDBL,-,101,102,100,100,100.22,"1,320",101,"132,290",39,-1.00,2.00,-0.99,2.00,-0.22,0.00,0.00
18,CORBL,-,118,116,107,107,110.33,600,118,"66,200",8,-11.00,9.00,-9.32,8.41,-3.12,0.00,0.00
19,CZBIL,-,423,443,415,443,426.90,"7,168",423,"3,060,042",42,20.00,28.00,4.73,6.75,3.63,0.00,0.00
20,DDBL,-,852,835,835,835,835.00,24,852,"20,040",1,-17.00,0.00,-2.00,0.00,0.00,0.00,0.00
21,EBL,-,2011,2049,2000,2039,"2,020.70","4,853",2011,"9,806,447",35,28.00,49.00,1.39,2.45,0.90,0.00,0.00
22,EBLCP,-,816,816,816,816,816.00,30,816,"24,480",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,GBBL,-,255,265,247,257,255.22,"5,474",255,"1,397,058",22,2.00,18.00,0.78,7.29,0.69,0.00,0.00
24,GDBL,-,174,177,177,177,177.00,14,174,"2,478",1,3.00,0.00,1.72,0.00,0.00,0.00,0.00
25,GLICL,-,395,405,393,405,398.80,"5,384",395,"2,147,153",29,10.00,12.00,2.53,3.05,1.53,0.00,0.00
26,GRAND,-,264,271,260,263,262.61,"5,530",264,"1,452,217",15,-1.00,11.00,-0.38,4.23,0.15,0.00,0.00
27,GSDBL,-,139,143,134,141,137.77,496,139,"68,334",37,2.00,9.00,1.44,6.72,2.29,0.00,0.00
28,HAMA,-,110,108,106,108,107.70,"1,710",110,"184,160",36,-2.00,2.00,-1.82,1.89,0.28,0.00,0.00
29,HAMRO,-,185,194,188,188,188.54,"2,852",185,"537,709",7,3.00,6.00,1.62,3.19,-0.29,0.00,0.00
30,HBL,-,820,820,820,820,820.00,187,820,"153,340",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,HGI,-,385,385,380,380,382.50,202,385,"77,265",2,-5.00,5.00,-1.30,1.32,-0.66,0.00,0.00
32,ICFC,-,229,251,230,251,241.51,"1,606",229,"387,865",12,22.00,21.00,9.61,9.13,3.78,0.00,0.00
33,IDBL,-,122,122,116,120,119.04,"3,009",122,"358,204",41,-2.00,6.00,-1.64,5.17,0.80,0.00,0.00
34,ILFC,-,216,220,218,220,219.47,"5,852",216,"1,284,355",12,4.00,2.00,1.85,0.92,0.24,0.00,0.00
35,INDB,-,146,148,148,148,148.00,42,146,"6,216",1,2.00,0.00,1.37,0.00,0.00,0.00,0.00
36,INDBL,-,128,128,125,128,125.36,"3,848",128,"482,374",8,0.00,3.00,0.00,2.40,2.06,0.00,0.00
37,JBBL,-,132,132,130,132,130.82,"2,330",132,"304,800",13,0.00,2.00,0.00,1.54,0.90,0.00,0.00
38,JBNL,-,260,261,255,260,257.62,"7,097",260,"1,828,310",27,0.00,6.00,0.00,2.35,0.92,0.00,0.00
39,JEFL,-,128,130,126,130,127.40,970,128,"123,580",4,2.00,4.00,1.56,3.17,2.00,0.00,0.00
40,JFL,-,290,296,290,296,290.76,329,290,"95,660",4,6.00,6.00,2.07,2.07,1.77,0.00,0.00
41,KAFIL,-,150,156,153,156,155.81,309,150,"48,144",2,6.00,3.00,4.00,1.96,0.12,0.00,0.00
42,KBBL,-,265,265,260,265,260.03,"2,147",265,"558,285",2,0.00,5.00,0.00,1.92,1.88,0.00,0.00
43,KBL,-,490,504,489,504,490.46,"9,022",490,"4,424,947",34,14.00,15.00,2.86,3.07,2.69,0.00,0.00
44,KIST,-,211,221,211,212,215.71,"4,375",211,"943,750",14,1.00,10.00,0.47,4.74,-1.75,0.00,0.00
45,KISTPO,-,110,0,0,110,61.00,"166,500",110,"10,156,500",3,0.00,0.00,0.00,0.00,44.55,0.00,0.00
46,KKBL,-,129,135,131,135,134.80,301,129,"40,575",3,6.00,4.00,4.65,3.05,0.15,0.00,0.00
