S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,53.58,408,415,404,411,408.86,"10,680",409,"4,366,673",69,2.00,11.00,0.49,2.72,0.52,451.00,290.00
2,AHPC,55.36,96,102,96,98,98.38,"34,957",95,"3,439,080",95,3.00,6.00,3.16,6.25,-0.39,125.00,91.00
3,AKBSL,63.69,450,487,450,487,465.32,"6,245",448,"2,905,900",100,39.00,37.00,8.71,8.22,4.45,488.00,263.00
4,AKJCL,45.88,56,57,55,57,55.50,200,55,"11,100",13,2.00,2.00,3.64,3.64,2.63,106.00,52.00
5,AKPL,44.65,113,124,113,122,119.93,739,113,"88,625",10,9.00,11.00,7.96,9.73,1.70,220.00,106.00
6,ALBSL,63.59,443,475,443,461,465.22,"6,000",443,"2,791,308",75,18.00,32.00,4.06,7.22,-0.91,555.00,300.00
7,ALICL,57.09,338,358,335,344,349.04,"9,420",341,"3,287,960",48,3.00,23.00,0.88,6.87,-1.47,658.00,304.00
8,API,56.13,102,111,101,109,106.80,"32,043",104,"3,422,039",103,5.00,10.00,4.81,9.90,2.02,178.00,100.00
9,BARUN,35.47,76,76,76,76,76.00,146,77,"11,096",2,-1.00,0.00,-1.30,0.00,0.00,118.00,76.00
10,BFC,52.48,88,88,87,87,87.08,760,87,"66,180",5,0.00,1.00,0.00,1.15,-0.09,117.00,80.00
11,BNT,42.34,6197,6197,6197,6197,"6,197.00",10,6076,"61,970",1,121.00,0.00,1.99,0.00,0.00,"7,384.00","6,027.00"
12,BOKL,56.81,215,219,214,219,215.65,"21,324",216,"4,598,611",79,3.00,5.00,1.39,2.34,1.53,345.00,210.00
13,BPCL,55.36,342,365,342,360,357.25,"32,400",343,"11,574,783",235,17.00,23.00,4.96,6.73,0.76,459.00,329.00
14,CBBL,56.56,793,821,793,800,809.05,"6,374",792,"5,156,876",55,8.00,28.00,1.01,3.53,-1.13,"1,120.00",751.00
15,CBL,54.92,138,138,135,137,136.23,"23,829",140,"3,246,136",80,-3.00,3.00,-2.14,2.22,0.56,175.00,134.00
16,CCBL,40.62,165,165,162,163,163.83,"13,107",162,"2,147,281",64,1.00,3.00,0.62,1.85,-0.51,186.00,150.00
17,CFCL,53.77,110,116,110,113,112.40,"2,990",108,"336,089",11,5.00,6.00,4.63,5.45,0.53,127.00,104.00
18,CHCL,46.11,354,374,354,360,358.80,"6,733",354,"2,415,826",37,6.00,20.00,1.69,5.65,0.33,704.00,344.00
19,CHL,32.21,79,79,78,78,78.23,44,78,"3,442",3,0.00,1.00,0.00,1.28,-0.29,109.00,74.00
20,CIT,59.22,1678,1760,1678,1740,"1,737.04","2,320",1712,"4,029,934",41,28.00,82.00,1.64,4.89,0.17,"2,948.00","1,577.00"
21,CLBSL,62.99,550,580,540,566,566.14,"1,380",540,"781,270",27,26.00,40.00,4.81,7.41,-0.02,777.00,438.00
22,CMF1,55.13,8.9,9.25,8.9,9.25,9.09,"5,900",8.75,"53,603",4,0.50,0.35,5.71,3.93,1.78,10.20,8.47
23,CZBIL,54.59,183,187,182,187,184.17,"8,672",182,"1,597,102",45,5.00,5.00,2.75,2.75,1.51,243.00,178.00
24,DBBL,55.92,124,126,123,126,124.82,"7,532",122,"940,110",20,4.00,3.00,3.28,2.44,0.94,158.00,119.00
25,DDBL,59.53,775,800,775,796,790.73,"21,798",775,"17,236,306",133,21.00,25.00,2.71,3.23,0.66,801.00,555.00
26,DHPL,45.60,53,54,53,54,53.02,595,52,"31,545",7,2.00,1.00,3.85,1.89,1.82,102.00,49.00
27,EBL,54.23,541,556,541,551,551.95,"6,160",546,"3,400,008",41,5.00,15.00,0.92,2.77,-0.17,707.00,501.00
28,EDBL,45.08,289,292,287,292,289.61,298,286,"86,305",4,6.00,5.00,2.10,1.74,0.82,322.00,256.00
29,EIC,57.73,220,236,220,235,230.79,"23,735",220,"5,477,769",86,15.00,16.00,6.82,7.27,1.79,"1,050.00",204.00
30,FMDBL,59.53,315,322,309,317,317.11,"10,063",309,"3,191,059",58,8.00,13.00,2.59,4.21,-0.03,444.00,298.00
31,FOWAD,59.53,1362,1400,1350,1390,"1,378.26","3,829",1344,"5,277,350",58,46.00,50.00,3.42,3.70,0.84,"1,910.00","1,234.00"
32,GBBL,55.14,197,205,197,202,200.97,"13,118",197,"2,636,283",46,5.00,8.00,2.54,4.06,0.51,240.00,172.00
33,GBLBS,55.36,303,321,303,315,313.89,"23,913",300,"7,506,067",120,15.00,18.00,5.00,5.94,0.35,478.00,282.00
34,GFCL,50.39,131,133,130,132,131.00,"1,109",129,"145,282",8,3.00,3.00,2.33,2.31,0.76,144.00,111.00
35,GGBSL,39.46,610,625,610,615,621.14,"1,190",601,"739,160",49,14.00,15.00,2.33,2.46,-1.00,678.00,231.00
36,GILB,55.36,810,846,810,825,818.17,"6,583",795,"5,386,022",41,30.00,36.00,3.77,4.44,0.83,"1,418.00",664.00
37,GIMES1,35.09,7.17,7.17,7.17,7.17,7.17,"5,000",7.31,"35,850",3,-0.14,0.00,-1.92,0.00,0.00,10.05,6.50
38,GLBSL,55.36,425,455,425,452,442.95,"3,035",423,"1,344,340",37,29.00,30.00,6.86,7.06,2.00,591.00,279.00
39,GLICL,63.69,388,415,379,402,401.18,"14,787",386,"5,932,202",86,16.00,36.00,4.15,9.50,0.20,790.00,339.00
40,GMFBS,50.32,530,547,530,539,537.38,660,530,"354,670",19,9.00,17.00,1.70,3.21,0.30,669.00,237.00
41,GMFIL,56.88,113,113,111,113,112.02,"2,750",112,"308,054",4,1.00,2.00,0.89,1.80,0.87,134.00,111.00
42,GRDBL,52.30,103,104,103,104,103.83,420,101,"43,610",2,3.00,1.00,2.97,0.97,0.16,127.00,98.00
43,GUFL,49.58,110,116,110,116,112.07,847,111,"94,924",7,5.00,6.00,4.50,5.45,3.39,127.00,98.00
44,HBL,47.15,487,494,487,492,488.78,135,485,"65,985",3,7.00,7.00,1.44,1.44,0.65,644.00,418.00
45,HDL,48.68,1259,1300,1242,1275,"1,265.98","9,777",1238,"12,377,485",85,37.00,58.00,2.99,4.67,0.71,"2,070.00","1,123.00"
46,HGI,55.36,245,264,245,259,259.38,"7,513",249,"1,948,711",41,10.00,19.00,4.02,7.76,-0.15,441.00,232.00
