S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,49.35,418,418,412,413,413.32,"17,369",416,"7,178,981",69,-3.00,6.00,-0.72,1.46,-0.08,451.00,290.00
2,AHPC,39.27,106,107,105,107,105.78,"5,439",108,"575,325",13,-1.00,2.00,-0.93,1.90,1.14,161.00,96.00
3,AKJCL,51.74,72,75,72,75,73.06,360,73,"26,300",21,2.00,3.00,2.74,4.17,2.59,106.00,71.00
4,AKPL,53.33,185,190,185,190,187.52,"2,638",182,"494,678",17,8.00,5.00,4.40,2.70,1.31,281.00,146.00
5,ALBSL,45.11,399,399,388,390,392.99,"1,590",407,"624,850",48,-17.00,11.00,-4.18,2.84,-0.77,555.00,300.00
6,ALICL,41.32,378,382,378,382,381.19,"1,025",384,"390,724",8,-2.00,4.00,-0.52,1.06,0.21,684.00,370.00
7,API,39.08,144,146,143,146,144.30,"2,985",146,"430,733",27,0.00,3.00,0.00,2.10,1.16,307.00,120.00
8,BARUN,51.22,90,91,90,91,90.98,518,91,"47,128",7,0.00,1.00,0.00,1.11,0.02,160.00,89.00
9,BBC,49.83,1597,1597,1597,1597,"1,597.00",20,1567,"31,940",1,30.00,0.00,1.91,0.00,0.00,"1,859.00","1,506.00"
10,BFC,33.32,102,103,102,102,102.10,"3,753",104,"383,170",14,-2.00,1.00,-1.92,0.98,-0.10,120.00,80.00
11,BOKL,54.58,265,266,261,266,262.68,"33,623",266,"8,832,148",70,0.00,5.00,0.00,1.92,1.25,350.00,231.00
12,BPCL,42.46,400,407,400,404,404.59,"4,103",405,"1,660,024",37,-1.00,7.00,-0.25,1.75,-0.15,496.00,332.00
13,CBBL,50.31,950,950,935,939,938.30,"2,927",938,"2,746,413",21,1.00,15.00,0.11,1.60,0.07,"1,120.00",800.00
14,CBL,33.52,149,149,145,145,145.63,"19,514",147,"2,841,892",62,-2.00,4.00,-1.36,2.76,-0.44,188.00,141.00
15,CCBL,35.07,168,168,166,167,166.72,"23,394",167,"3,900,239",88,0.00,2.00,0.00,1.20,0.17,203.00,155.00
16,CCBLPO,47.69,140,140,138,138,138.89,"47,423",140,"6,586,374",2,-2.00,2.00,-1.43,1.45,-0.64,173.00,138.00
17,CFCL,30.75,117,119,117,118,117.36,919,119,"107,853",5,-1.00,2.00,-0.84,1.71,0.54,129.00,104.00
18,CHCL,49.27,515,515,511,512,511.87,"12,987",518,"6,647,629",54,-6.00,4.00,-1.16,0.78,0.03,790.00,493.00
19,CHL,45.38,92,94,92,93,92.89,94,93,"8,732",7,0.00,2.00,0.00,2.17,0.11,146.00,91.00
20,CIT,42.80,2490,2500,2475,2475,"2,485.70",890,2490,"2,212,270",23,-15.00,25.00,-0.60,1.01,-0.43,"2,948.00","1,577.00"
21,CLBSL,52.08,504,505,498,505,502.57,144,514,"72,370",11,-9.00,7.00,-1.75,1.41,0.48,805.00,486.00
22,CMF1,46.26,9.25,9.59,9.25,9.59,9.42,"3,750",9.43,"35,328",5,0.16,0.34,1.70,3.68,1.76,10.08,8.00
23,CORBL,31.63,120,120,120,120,120.00,90,120,"10,800",1,0.00,0.00,0.00,0.00,0.00,147.00,89.00
24,CZBIL,42.42,220,223,218,218,219.62,"41,255",220,"9,060,269",75,-2.00,5.00,-0.91,2.29,-0.74,273.00,199.00
25,DBBL,29.69,138,139,138,139,138.38,"4,203",140,"581,614",21,-1.00,1.00,-0.71,0.72,0.45,158.00,120.00
26,DDBL,46.87,713,713,711,711,711.31,999,715,"710,603",10,-4.00,2.00,-0.56,0.28,-0.04,797.00,555.00
27,DHPL,33.41,68,68,67,68,67.23,91,68,"6,118",3,0.00,1.00,0.00,1.49,1.13,113.00,65.00
28,EBL,41.63,666,667,660,667,663.53,"9,076",665,"6,022,167",52,2.00,7.00,0.30,1.06,0.52,707.00,501.00
29,EDBL,53.16,294,294,294,294,294.00,"8,170",294,"2,401,980",1,0.00,0.00,0.00,0.00,0.00,344.00,256.00
30,EIC,45.60,369,370,369,370,369.60,500,366,"184,800",3,4.00,1.00,1.09,0.27,0.11,"1,400.00",328.00
31,FMDBL,35.74,384,384,383,383,383.93,535,386,"205,405",6,-3.00,1.00,-0.78,0.26,-0.24,570.00,309.00
32,FOWAD,46.63,1332,1340,1317,1330,"1,332.21","1,365",1350,"1,818,462",22,-20.00,23.00,-1.48,1.75,-0.17,"2,352.00","1,310.00"
33,GBBL,37.96,222,226,222,223,223.56,"14,979",223,"3,348,636",35,0.00,4.00,0.00,1.80,-0.25,240.00,170.00
