S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,38.50,433,433,429,431,430.36,"20,621",430,"8,874,359",89,1.00,4.00,0.23,0.93,0.15,451.00,290.00
2,AHPC,43.68,104,105,103,104,104.23,"4,891",104,"509,805",16,0.00,2.00,0.00,1.94,-0.22,141.00,96.00
3,AKJCL,45.15,67,69,67,67,67.49,510,67,"34,420",34,0.00,2.00,0.00,2.99,-0.73,106.00,66.00
4,AKPL,37.91,162,165,162,164,163.55,574,164,"93,879",24,0.00,3.00,0.00,1.85,0.27,275.00,146.00
5,ALBSL,43.87,460,477,456,475,468.40,"2,805",461,"1,313,870",126,14.00,21.00,3.04,4.61,1.39,555.00,300.00
6,ALICL,48.14,354,354,346,354,351.32,"5,121",352,"1,799,086",34,2.00,8.00,0.57,2.31,0.76,658.00,346.00
7,API,41.19,126,133,126,133,131.48,"8,356",131,"1,098,610",35,2.00,7.00,1.53,5.56,1.15,282.00,120.00
8,BARUN,38.84,87,90,87,90,88.50,40,88,"3,540",4,2.00,3.00,2.27,3.45,1.67,140.00,86.00
9,BBC,38.88,1377,1377,1331,1331,"1,340.58",120,1405,"160,870",6,-74.00,46.00,-5.27,3.46,-0.72,"1,859.00","1,331.00"
10,BFC,56.75,100,100,99,99,99.99,"7,550",101,"754,950",3,-2.00,1.00,-1.98,1.01,-1.00,117.00,80.00
11,BOKL,37.26,264,264,260,260,260.87,"6,705",260,"1,749,124",41,0.00,4.00,0.00,1.54,-0.33,350.00,231.00
12,BPCL,44.52,390,394,387,393,392.52,"2,380",390,"934,202",36,3.00,7.00,0.77,1.81,0.12,496.00,332.00
13,CBBL,31.23,985,990,985,987,987.19,"1,507",989,"1,487,702",13,-2.00,5.00,-0.20,0.51,-0.02,"1,120.00",800.00
14,CBL,49.42,151,152,150,151,150.65,"55,784",151,"8,403,939",57,0.00,2.00,0.00,1.33,0.23,188.00,142.00
15,CBLPO,47.42,100,100,100,100,100.00,"55,000",100,"5,500,000",1,0.00,0.00,0.00,0.00,0.00,120.00,100.00
16,CCBL,43.09,165,167,164,165,165.13,"6,240",165,"1,030,404",39,0.00,3.00,0.00,1.83,-0.08,203.00,155.00
17,CEFL,52.28,111,114,107,114,111.47,"10,644",109,"1,186,512",27,5.00,7.00,4.59,6.54,2.22,135.00,92.00
18,CHCL,34.99,477,486,477,480,480.01,"4,543",482,"2,180,677",46,-2.00,9.00,-0.41,1.89,-0.00,750.00,477.00
19,CHL,37.11,81,81,81,81,81.00,90,82,"7,290",4,-1.00,0.00,-1.22,0.00,0.00,130.00,81.00
20,CIT,40.80,2409,2410,2380,2380,"2,388.11","1,438",2406,"3,434,102",32,-26.00,30.00,-1.08,1.26,-0.34,"2,948.00","1,577.00"
21,CLBSL,47.56,515,515,515,515,515.00,11,515,"5,665",1,0.00,0.00,0.00,0.00,0.00,777.00,458.00
22,CMF1,48.88,9.9,10.08,9.89,10.08,9.91,"19,100",9.9,"189,260",12,0.18,0.19,1.82,1.92,1.70,10.20,8.00
23,CORBL,29.24,118,118,118,118,118.00,50,117,"5,900",1,1.00,0.00,0.85,0.00,0.00,147.00,89.00
24,CZBIL,42.78,219,222,219,220,220.78,"8,456",219,"1,866,947",42,1.00,3.00,0.46,1.37,-0.36,273.00,199.00
25,DBBL,39.17,141,143,140,143,140.90,"3,834",142,"540,229",24,1.00,3.00,0.70,2.14,1.47,158.00,120.00
26,DDBL,33.68,760,765,751,752,757.61,"2,080",753,"1,575,830",17,-1.00,14.00,-0.13,1.86,-0.75,801.00,555.00
27,DHPL,41.02,62,63,62,63,62.75,88,63,"5,522",4,0.00,1.00,0.00,1.61,0.40,107.00,62.00
28,EBL,51.69,665,665,654,657,657.31,"5,983",667,"3,932,702",29,-10.00,11.00,-1.50,1.68,-0.05,707.00,501.00
29,EBLCP,47.10,705,705,705,705,705.00,10,672,"7,050",1,33.00,0.00,4.91,0.00,0.00,705.00,569.00
30,EDBL,38.99,286,286,286,286,286.00,174,290,"49,764",1,-4.00,0.00,-1.38,0.00,0.00,333.00,256.00
31,EDBLPO,42.53,155,155,155,155,155.00,"33,660",155,"5,217,300",1,0.00,0.00,0.00,0.00,0.00,160.00,155.00
32,EIC,39.15,338,344,329,329,336.07,"1,375",340,"462,100",17,-11.00,15.00,-3.24,4.56,-2.15,"1,326.00",328.00
33,FMDBL,27.15,385,390,383,387,386.98,"1,544",385,"597,504",15,2.00,7.00,0.52,1.83,0.00,444.00,309.00
34,FOWAD,32.63,1350,1350,1345,1345,"1,346.14",387,1350,"520,955",17,-5.00,5.00,-0.37,0.37,-0.08,"2,230.00","1,300.00"
35,GBBL,44.36,216,222,216,217,218.24,"12,078",219,"2,635,871",32,-2.00,6.00,-0.91,2.78,-0.57,240.00,171.00
36,GBLBS,41.97,371,378,370,377,373.70,"6,185",371,"2,311,330",48,6.00,8.00,1.62,2.16,0.88,616.00,325.00
37,GDBL,48.17,206,208,204,208,204.93,"5,577",208,"1,142,898",8,0.00,4.00,0.00,1.96,1.48,223.00,175.00
38,GFCL,50.82,132,136,132,136,133.00,239,130,"31,788",3,6.00,4.00,4.62,3.03,2.20,141.00,111.00
39,GHL,44.41,82,83,81,82,81.39,380,83,"30,930",14,-1.00,2.00,-1.20,2.47,0.74,300.00,78.00
40,GILB,48.88,690,702,690,691,691.19,632,691,"436,830",10,0.00,12.00,0.00,1.74,-0.03,"1,418.00",664.00
41,GLBSL,49.14,540,550,531,540,540.81,"1,640",535,"886,930",83,5.00,19.00,0.93,3.58,-0.15,591.00,279.00
42,GLICL,42.47,475,480,468,474,473.80,"1,543",475,"731,077",16,-1.00,12.00,-0.21,2.56,0.04,850.00,444.00
43,GMFBS,42.86,556,585,556,582,575.55,"1,160",567,"667,635",77,15.00,29.00,2.65,5.22,1.11,669.00,237.00
44,GMFIL,43.39,126,126,124,124,125.31,970,128,"121,550",5,-4.00,2.00,-3.13,1.61,-1.06,136.00,114.00
45,GRDBL,40.66,110,113,110,113,112.14,430,108,"48,220",5,5.00,3.00,4.63,2.73,0.76,139.00,100.00
46,GUFL,48.23,120,120,118,120,119.39,"11,678",120,"1,394,280",8,0.00,2.00,0.00,1.69,0.51,127.00,98.00
47,HBL,37.09,543,555,543,546,547.67,"2,823",547,"1,546,064",17,-1.00,12.00,-0.18,2.21,-0.31,644.00,418.00
48,HDL,42.20,1509,1525,1496,1496,"1,504.63",600,1501,"902,780",10,-5.00,29.00,-0.33,1.94,-0.58,"2,070.00","1,197.00"
49,HGI,38.34,331,331,323,324,325.87,"2,782",333,"906,563",26,-9.00,8.00,-2.70,2.48,-0.58,454.00,323.00
50,HIDCL,48.73,155,157,153,156,155.03,"3,214",155,"498,282",37,1.00,4.00,0.65,2.61,0.62,182.00,128.00
51,HPPL,44.92,165,171,163,166,166.11,180,168,"29,900",17,-2.00,8.00,-1.19,4.91,-0.07,275.00,162.00
52,HURJA,39.90,130,132,130,130,130.43,"1,385",132,"180,650",67,-2.00,2.00,-1.52,1.54,-0.33,168.00,117.00
53,ICFC,37.87,161,161,161,161,161.00,150,160,"24,150",2,1.00,0.00,0.63,0.00,0.00,175.00,143.00
54,IGI,37.42,345,345,345,345,345.00,20,346,"6,900",1,-1.00,0.00,-0.29,0.00,0.00,854.00,341.00
55,ILBS,41.30,474,495,470,480,480.96,"5,140",474,"2,472,120",202,6.00,25.00,1.27,5.32,-0.20,551.00,312.00
56,JBBL,48.58,155,160,155,159,156.60,"2,818",154,"441,302",16,5.00,5.00,3.25,3.23,1.51,171.00,131.00
57,JFL,46.99,193,193,190,190,191.05,100,190,"19,105",2,0.00,3.00,0.00,1.58,-0.55,235.00,159.00
58,JOSHI,42.98,68,74,68,73,70.31,390,68,"27,420",20,5.00,6.00,7.35,8.82,3.69,279.00,68.00
59,JSLBB,30.50,980,980,980,980,980.00,14,1000,"13,720",1,-20.00,0.00,-2.00,0.00,0.00,"2,970.00",865.00
60,KADBL,45.11,192,192,192,192,192.00,20,195,"3,840",2,-3.00,0.00,-1.54,0.00,0.00,210.00,140.00
61,KBL,47.05,209,210,206,207,207.77,"25,266",207,"5,249,478",72,0.00,4.00,0.00,1.94,-0.37,269.00,191.00
62,KPCL,43.87,85,87,85,86,86.36,750,86,"64,770",67,0.00,2.00,0.00,2.35,-0.42,133.00,84.00
63,KRBL,48.24,109,110,109,110,109.12,300,107,"32,737",4,3.00,1.00,2.80,0.92,0.80,135.00,90.00
64,KSBBL,44.66,150,152,148,150,149.92,"8,556",149,"1,282,736",23,1.00,4.00,0.67,2.70,0.05,171.00,129.00
65,LBBL,31.52,171,176,171,175,173.26,"7,049",171,"1,221,327",33,4.00,5.00,2.34,2.92,0.99,214.00,145.00
66,LBL,47.94,216,216,214,216,215.17,"5,303",214,"1,141,064",29,2.00,2.00,0.93,0.93,0.38,279.00,182.00
67,LGIL,38.61,413,418,411,412,411.59,705,413,"290,171",12,-1.00,7.00,-0.24,1.70,0.10,586.00,410.00
68,LICN,51.11,1140,1145,1130,1145,"1,132.23","4,016",1135,"4,547,022",18,10.00,15.00,0.88,1.33,1.12,"1,953.00","1,130.00"
69,LLBS,42.01,760,762,726,726,733.56,"2,279",751,"1,671,792",25,-25.00,36.00,-3.33,4.96,-1.04,"1,076.00",637.00
70,LVF1,43.55,10.89,11.09,10.49,10.93,10.95,"472,970",10.89,"5,179,077",92,0.04,0.60,0.37,5.72,-0.18,11.09,8.71
71,MBL,45.81,256,265,256,261,259.33,"6,046",257,"1,567,913",30,4.00,9.00,1.56,3.52,0.64,295.00,200.00
72,MDB,29.58,232,232,232,232,232.00,11,235,"2,552",2,-3.00,0.00,-1.28,0.00,0.00,312.00,219.00
73,MEGA,49.41,201,202,201,202,201.14,"38,128",202,"7,669,068",74,0.00,1.00,0.00,0.50,0.43,222.00,155.00
74,MEGAPO,48.92,102,102,102,102,102.00,"124,451",102,"12,694,002",2,0.00,0.00,0.00,0.00,0.00,110.00,102.00
75,MERO,36.66,528,543,523,533,535.78,414,530,"221,814",20,3.00,20.00,0.57,3.82,-0.52,"1,408.00",501.00
76,MFIL,45.24,123,125,123,124,123.82,850,122,"105,250",3,2.00,2.00,1.64,1.63,0.14,136.00,109.00
77,MHNL,36.15,100,105,100,102,101.61,"1,140",102,"115,840",22,0.00,5.00,0.00,5.00,0.38,114.00,85.00
78,MLBBL,42.38,480,504,477,504,483.49,141,480,"68,172",6,24.00,27.00,5.00,5.66,4.07,955.00,392.00
79,MLBL,36.05,200,201,197,198,198.45,"5,286",197,"1,049,029",20,1.00,4.00,0.51,2.03,-0.23,209.00,155.00
