S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,36.05,413,414,408,408,410.29,"23,477",413,"9,632,318",102,-5.00,6.00,-1.21,1.47,-0.56,451.00,290.00
2,AHPC,35.64,94,95,94,95,94.75,"8,030",94,"760,806",19,1.00,1.00,1.06,1.06,0.27,141.00,94.00
3,AKBSL,31.28,426,427,409,419,413.81,"2,020",419,"835,890",165,0.00,18.00,0.00,4.40,1.24,488.00,263.00
4,AKJCL,36.99,55,56,53,56,55.08,380,56,"20,930",16,0.00,3.00,0.00,5.66,1.64,106.00,53.00
5,AKPL,42.88,135,135,129,130,132.26,"12,722",134,"1,682,671",51,-4.00,6.00,-2.99,4.65,-1.74,275.00,127.00
6,ALBSL,33.71,415,433,414,416,418.59,736,420,"308,080",53,-4.00,19.00,-0.95,4.59,-0.62,555.00,300.00
7,ALICL,38.92,305,317,305,315,308.40,"7,432",310,"2,291,998",45,5.00,12.00,1.61,3.93,2.10,658.00,304.00
8,API,36.41,110,110,108,109,108.59,"7,472",110,"811,349",46,-1.00,2.00,-0.91,1.85,0.38,282.00,108.00
9,BARUN,28.09,85,86,85,85,85.13,80,86,"6,810",5,-1.00,1.00,-1.16,1.18,-0.15,134.00,82.00
10,BFC,38.49,90,90,88,88,88.74,"1,900",90,"168,600",7,-2.00,2.00,-2.22,2.27,-0.84,117.00,80.00
11,BOKL,35.07,254,254,249,250,250.68,"16,906",255,"4,237,921",77,-5.00,5.00,-1.96,2.01,-0.27,350.00,231.00
12,BPCL,32.88,385,385,353,357,354.94,"2,601",367,"923,209",37,-10.00,32.00,-2.72,9.07,0.58,496.00,332.00
13,CBBL,40.31,965,965,952,965,955.10,"18,867",963,"18,019,945",48,2.00,13.00,0.21,1.37,1.03,"1,120.00",800.00
14,CBL,33.09,142,144,141,141,141.79,"25,431",142,"3,605,865",75,-1.00,3.00,-0.70,2.13,-0.56,188.00,141.00
15,CCBL,35.62,154,157,154,155,155.37,"22,840",155,"3,548,752",83,0.00,3.00,0.00,1.95,-0.24,203.00,154.00
16,CEFL,37.77,99,99,98,99,98.50,600,101,"59,100",3,-2.00,1.00,-1.98,1.02,0.51,135.00,92.00
17,CFCL,43.81,109,109,109,109,109.00,92,108,"10,028",4,1.00,0.00,0.93,0.00,0.00,129.00,104.00
18,CHCL,35.14,425,428,419,420,422.54,"5,942",430,"2,510,762",40,-10.00,9.00,-2.33,2.15,-0.61,750.00,419.00
19,CHL,40.36,79,81,79,81,79.57,210,79,"16,710",3,2.00,2.00,2.53,2.53,1.76,124.00,74.00
20,CIT,40.65,1810,1810,1750,1764,"1,778.75","2,846",1811,"5,062,320",56,-47.00,60.00,-2.60,3.43,-0.84,"2,948.00","1,577.00"
21,CLBSL,29.61,498,498,487,487,489.14,142,496,"69,458",10,-9.00,11.00,-1.81,2.26,-0.44,777.00,458.00
22,CMF1,22.40,9.25,9.35,9.25,9.26,9.29,500,9.35,"4,647",4,-0.09,0.10,-0.96,1.08,-0.37,10.20,8.00
23,CZBIL,34.40,219,219,216,217,216.85,"68,915",218,"14,944,195",207,-1.00,3.00,-0.46,1.39,0.07,273.00,199.00
24,CZBILP,35.34,140,140,140,140,140.00,"6,434",159,"900,760",1,-19.00,0.00,-11.95,0.00,0.00,159.00,140.00
25,DBBL,39.77,126,127,126,126,126.03,"16,903",127,"2,130,356",22,-1.00,1.00,-0.79,0.79,-0.03,158.00,120.00
26,DDBL,47.39,716,720,710,715,713.98,"6,029",716,"4,304,588",42,-1.00,10.00,-0.14,1.41,0.14,801.00,555.00
27,DHPL,24.44,51,51,50,51,50.24,170,52,"8,540",7,-1.00,1.00,-1.92,2.00,1.50,107.00,50.00
28,EBL,37.50,555,558,546,550,550.63,"13,354",560,"7,353,070",90,-10.00,12.00,-1.79,2.20,-0.11,707.00,501.00
29,EDBL,36.38,263,265,263,263,263.57,796,267,"209,798",6,-4.00,2.00,-1.50,0.76,-0.21,322.00,256.00
30,EIC,41.15,290,290,285,286,286.76,710,285,"203,600",9,1.00,5.00,0.35,1.75,-0.27,"1,284.00",280.00
31,FMDBL,39.93,384,384,353,364,363.43,"4,458",366,"1,620,164",49,-2.00,31.00,-0.55,8.78,0.16,444.00,309.00
32,FOWAD,38.04,1245,1248,1234,1248,"1,238.16",664,1255,"822,140",24,-7.00,14.00,-0.56,1.13,0.79,"2,230.00","1,234.00"
33,GBBL,30.37,210,210,206,207,207.08,"7,813",207,"1,617,895",20,0.00,4.00,0.00,1.94,-0.04,240.00,171.00
34,GBLBS,38.15,329,329,314,314,320.25,"6,950",323,"2,225,760",73,-9.00,15.00,-2.79,4.78,-1.99,570.00,314.00
35,GDBL,36.26,205,206,201,204,202.57,"32,492",205,"6,581,873",44,-1.00,5.00,-0.49,2.49,0.70,223.00,175.00
36,GFCL,36.83,141,141,133,133,134.80,"1,321",135,"178,070",14,-2.00,8.00,-1.48,6.02,-1.35,144.00,111.00
37,GGBSL,47.37,243,243,243,243,243.00,10,239,"2,430",1,4.00,0.00,1.67,0.00,0.00,243.00,231.00
38,GHL,41.50,67,67,64,64,65.91,540,67,"35,590",22,-3.00,3.00,-4.48,4.69,-2.98,300.00,64.00
39,GILB,28.79,710,710,681,681,699.95,151,711,"105,693",7,-30.00,29.00,-4.22,4.26,-2.78,"1,418.00",664.00
40,GIMES1,38.25,6.83,6.83,6.83,6.83,6.83,"5,000",6.96,"34,150",2,-0.13,0.00,-1.87,0.00,0.00,10.05,6.83
41,GLBSL,32.41,430,430,415,416,418.18,"1,075",430,"449,540",21,-14.00,15.00,-3.26,3.61,-0.52,591.00,279.00
42,GLICL,41.18,360,360,339,350,349.48,"6,009",362,"2,100,000",56,-12.00,21.00,-3.31,6.19,0.15,841.00,339.00
43,GMFBS,35.66,442,460,442,459,454.49,960,448,"436,310",23,11.00,18.00,2.46,4.07,0.98,669.00,237.00
44,GRDBL,29.57,102,104,102,103,102.13,687,104,"70,164",12,-1.00,2.00,-0.96,1.96,0.84,136.00,100.00
45,GUFL,32.66,111,111,110,110,110.51,"2,432",112,"268,770",5,-2.00,1.00,-1.79,0.91,-0.47,127.00,98.00
46,HBL,34.22,507,507,495,496,499.40,"3,121",507,"1,558,625",29,-11.00,12.00,-2.17,2.42,-0.69,644.00,418.00
47,HDL,31.75,1423,1423,1365,1392,"1,398.86",860,1423,"1,203,020",22,-31.00,58.00,-2.18,4.25,-0.49,"2,070.00","1,197.00"
48,HGI,42.89,269,274,260,265,265.23,"7,404",273,"1,963,780",48,-8.00,14.00,-2.93,5.38,-0.09,453.00,260.00
49,HIDCL,35.94,130,133,130,130,130.99,"5,901",131,"772,988",50,-1.00,3.00,-0.76,2.31,-0.76,182.00,128.00
50,HPPL,30.97,133,134,131,131,131.43,230,135,"30,230",19,-4.00,3.00,-2.96,2.29,-0.33,271.00,131.00
51,HURJA,34.15,106,109,105,105,106.54,"2,030",108,"216,270",47,-3.00,4.00,-2.78,3.81,-1.46,168.00,105.00
