S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,57.57,415,416,412,413,413.40,"19,873",412,"8,215,515",100,1.00,4.00,0.24,0.97,-0.10,451.00,290.00
2,AHPC,33.51,97,99,96,97,97.16,"2,150",96,"208,885",25,1.00,3.00,1.04,3.13,-0.16,125.00,91.00
3,AKJCL,45.53,58,59,53,53,56.36,850,57,"47,910",55,-4.00,6.00,-7.02,11.32,-6.35,106.00,52.00
4,AKPL,40.94,113,117,112,114,112.58,"22,566",115,"2,540,562",55,-1.00,5.00,-0.87,4.46,1.24,220.00,106.00
5,ALBSL,52.12,508,508,484,490,493.03,"4,287",507,"2,113,624",47,-17.00,24.00,-3.35,4.96,-0.62,555.00,300.00
6,ALICL,52.24,363,368,354,359,360.58,"16,445",365,"5,929,673",64,-6.00,14.00,-1.64,3.95,-0.44,658.00,304.00
7,API,37.80,110,111,106,108,107.18,"9,134",109,"978,990",47,-1.00,5.00,-0.92,4.72,0.76,178.00,100.00
8,BARUN,55.17,80,82,80,82,81.33,"1,830",81,"148,830",7,1.00,2.00,1.23,2.50,0.82,114.00,76.00
9,BFC,57.90,86,89,86,89,86.83,"5,293",85,"459,569",20,4.00,3.00,4.71,3.49,2.44,117.00,80.00
10,BOKL,39.65,219,220,216,217,217.58,"5,198",218,"1,130,977",38,-1.00,4.00,-0.46,1.85,-0.27,345.00,210.00
11,BPCL,46.66,360,364,350,352,354.36,"80,343",355,"28,470,136",462,-3.00,14.00,-0.85,4.00,-0.67,459.00,329.00
12,CBBL,45.34,810,810,794,800,796.60,794,805,"632,499",11,-5.00,16.00,-0.62,2.02,0.43,"1,120.00",751.00
13,CBL,52.30,134,137,134,137,136.04,"12,748",136,"1,734,218",41,1.00,3.00,0.74,2.24,0.70,175.00,134.00
14,CCBL,40.70,168,168,165,165,166.29,"12,883",167,"2,142,362",63,-2.00,3.00,-1.20,1.82,-0.78,186.00,150.00
15,CEFL,49.75,102,103,102,103,102.63,540,104,"55,420",5,-1.00,1.00,-0.96,0.98,0.36,135.00,92.00
16,CFCL,45.15,118,118,113,115,114.41,"3,396",116,"388,533",7,-1.00,5.00,-0.86,4.42,0.51,127.00,104.00
17,CHCL,59.15,357,385,356,360,363.47,"9,139",358,"3,321,737",53,2.00,29.00,0.56,8.15,-0.96,704.00,344.00
18,CHL,59.09,86,93,86,93,90.09,632,85,"56,938",29,8.00,7.00,9.41,8.14,3.13,109.00,74.00
19,CIT,60.63,2008,2165,1995,2050,"2,108.05","41,875",1969,"88,274,451",526,81.00,170.00,4.11,8.52,-2.83,"2,948.00","1,678.00"
20,CLBSL,38.13,555,559,550,551,552.49,378,565,"208,842",10,-14.00,9.00,-2.48,1.64,-0.27,777.00,438.00
21,CMF1,41.99,8.9,9,8.82,8.99,8.92,"3,600",8.83,"32,099",4,0.16,0.18,1.81,2.04,0.82,10.20,8.47
22,CORBL,42.67,104,104,104,104,104.00,50,104,"5,200",1,0.00,0.00,0.00,0.00,0.00,147.00,89.00
23,CZBIL,39.15,182,185,182,182,183.65,"9,076",183,"1,666,766",48,-1.00,3.00,-0.55,1.65,-0.90,243.00,178.00
24,DBBL,52.45,141,141,134,136,137.19,"57,183",139,"7,845,163",84,-3.00,7.00,-2.16,5.22,-0.88,158.00,119.00
25,DDBL,45.75,877,877,866,870,871.55,"6,498",877,"5,663,305",47,-7.00,11.00,-0.80,1.27,-0.18,960.00,555.00
26,DHPL,33.49,51,51,51,51,51.00,21,52,"1,071",2,-1.00,0.00,-1.92,0.00,0.00,102.00,49.00
27,EBL,38.35,529,533,526,526,529.12,"7,312",529,"3,868,938",55,-3.00,7.00,-0.57,1.33,-0.59,707.00,501.00
28,EDBL,35.07,289,289,289,289,289.00,250,291,"72,250",1,-2.00,0.00,-0.69,0.00,0.00,322.00,257.00
29,EIC,46.07,285,286,272,272,278.76,"27,383",280,"7,633,315",118,-8.00,14.00,-2.86,5.15,-2.49,"1,050.00",204.00
30,FMDBL,52.88,326,328,319,320,322.35,"8,090",327,"2,607,810",28,-7.00,9.00,-2.14,2.82,-0.73,444.00,298.00
31,FOWAD,48.73,1404,1410,1388,1398,"1,397.20","2,398",1378,"3,350,490",56,20.00,22.00,1.45,1.59,0.06,"1,910.00","1,234.00"
32,GBBL,46.23,205,206,201,201,204.07,"3,766",204,"768,530",23,-3.00,5.00,-1.47,2.49,-1.53,240.00,178.00
33,GBLBS,46.15,318,329,316,318,321.82,"20,007",318,"6,438,556",123,0.00,13.00,0.00,4.11,-1.20,478.00,282.00
34,GFCL,49.54,143,143,135,135,139.41,"2,768",137,"385,875",11,-2.00,8.00,-1.46,5.93,-3.26,144.00,111.00
35,GGBSL,49.32,590,613,590,613,596.49,950,601,"566,666",31,12.00,23.00,2.00,3.90,2.69,678.00,231.00
36,GILB,33.31,821,821,820,820,820.70,143,830,"117,360",4,-10.00,1.00,-1.20,0.12,-0.09,"1,418.00",664.00
37,GIMES1,38.92,7.1,7.17,7.06,7.06,7.10,"8,500",7.03,"60,375",6,0.03,0.11,0.43,1.56,-0.61,10.05,6.50
38,GLBSL,50.57,470,470,446,446,456.65,"1,130",469,"516,020",25,-23.00,24.00,-4.90,5.38,-2.39,591.00,279.00
39,GLICL,43.30,467,474,447,455,458.99,"10,398",459,"4,772,612",76,-4.00,27.00,-0.87,6.04,-0.88,790.00,339.00
40,GMFBS,41.33,566,575,555,555,567.99,"2,229",576,"1,266,050",31,-21.00,20.00,-3.65,3.60,-2.34,669.00,237.00
41,GMFIL,48.58,116,116,115,115,115.83,120,117,"13,900",2,-2.00,1.00,-1.71,0.87,-0.72,134.00,111.00
42,GRDBL,51.75,103,104,102,103,103.09,"1,380",101,"142,260",9,2.00,2.00,1.98,1.96,-0.08,127.00,98.00
43,GUFL,54.01,108,115,108,115,110.05,"2,050",109,"225,605",6,6.00,7.00,5.50,6.48,4.30,127.00,98.00
44,HBL,49.40,500,500,495,498,498.23,"3,789",491,"1,887,778",26,7.00,5.00,1.43,1.01,-0.05,644.00,418.00
45,HDL,56.46,1260,1278,1230,1244,"1,251.01","20,220",1254,"25,295,467",154,-10.00,48.00,-0.80,3.90,-0.56,"2,070.00","1,123.00"
46,HGI,35.58,290,300,278,278,288.59,"3,450",290,"995,640",28,-12.00,22.00,-4.14,7.91,-3.81,441.00,232.00
47,HIDCL,64.79,151,158,143,143,148.01,"119,918",144,"17,749,073",374,-1.00,15.00,-0.69,10.49,-3.50,182.00,128.00
48,HPPL,60.63,135,143,135,143,140.26,"3,300",134,"462,860",33,9.00,8.00,6.72,5.93,1.92,210.00,126.00
49,HURJA,45.88,103,106,100,104,101.94,"1,720",102,"175,340",34,2.00,6.00,1.96,6.00,1.98,168.00,96.00
50,ICFC,59.58,160,163,160,162,161.10,"6,088",160,"980,800",20,2.00,3.00,1.25,1.88,0.55,172.00,143.00
51,IGI,51.74,313,313,313,313,313.00,"1,000",313,"313,000",6,0.00,0.00,0.00,0.00,0.00,528.00,253.00
52,ILBS,38.81,545,560,529,535,533.80,"6,335",540,"3,381,630",49,-5.00,31.00,-0.93,5.86,0.22,601.00,312.00
53,JBBL,47.39,173,173,168,170,170.22,"30,002",171,"5,107,011",84,-1.00,5.00,-0.58,2.98,-0.13,173.00,132.00
54,JFL,56.28,204,204,196,196,197.05,"7,780",200,"1,533,036",32,-4.00,8.00,-2.00,4.08,-0.53,207.00,159.00
55,JOSHI,60.63,61,65,60,65,62.70,"2,060",60,"129,160",28,5.00,5.00,8.33,8.33,3.54,279.00,51.00
56,JSLBB,33.82,1207,1209,1186,1208,"1,193.01",184,1207,"219,513",8,1.00,23.00,0.08,1.94,1.24,"2,970.00",865.00
57,KADBL,56.80,191,206,191,206,198.65,"2,293",188,"455,506",14,18.00,15.00,9.57,7.85,3.57,210.00,140.00
58,KBL,53.02,183,184,180,181,182.10,"8,167",183,"1,487,179",41,-2.00,4.00,-1.09,2.22,-0.61,269.00,174.00
59,KKHC,38.67,51,51,50,50,50.17,152,52,"7,626",8,-2.00,1.00,-3.85,2.00,-0.34,100.00,49.00
60,KPCL,38.81,85,87,83,85,84.20,550,84,"46,310",39,1.00,4.00,1.19,4.82,0.94,105.00,74.00
61,KRBL,51.33,106,106,101,102,101.57,"3,323",104,"337,523",13,-2.00,5.00,-1.92,4.95,0.42,135.00,90.00
62,KSBBL,56.43,137,137,135,137,135.96,"14,488",137,"1,969,811",23,0.00,2.00,0.00,1.48,0.76,171.00,131.00
63,LBBL,49.78,197,197,190,192,191.44,"42,572",194,"8,150,186",100,-2.00,7.00,-1.03,3.68,0.29,214.00,166.00
64,LBL,49.47,194,194,193,193,193.46,"5,860",193,"1,133,672",17,0.00,1.00,0.00,0.52,-0.24,245.00,182.00
65,LEMF,48.42,7.14,7.14,7.14,7.14,7.14,"5,000",7.28,"35,700",2,-0.14,0.00,-1.92,0.00,0.00,8.69,6.58
66,LGIL,40.79,348,348,332,332,336.14,"4,610",342,"1,549,586",26,-10.00,16.00,-2.92,4.82,-1.25,586.00,290.00
67,LICN,38.61,1005,1040,1005,1035,"1,022.98",630,1025,"644,476",12,10.00,35.00,0.98,3.48,1.16,"1,953.00",801.00
68,LLBS,43.04,693,693,657,670,670.84,250,680,"167,710",7,-10.00,36.00,-1.47,5.48,-0.13,859.00,563.00
69,MBL,41.73,219,221,218,218,219.27,"25,275",219,"5,541,970",43,-1.00,3.00,-0.46,1.38,-0.58,295.00,203.00
70,MDB,39.28,250,250,247,247,248.25,294,250,"72,986",4,-3.00,3.00,-1.20,1.21,-0.51,310.00,219.00
71,MEGA,41.90,183,185,183,184,183.57,"12,576",184,"2,308,531",55,0.00,2.00,0.00,1.09,0.24,222.00,155.00
72,MERO,48.26,455,455,440,441,445.11,"4,816",455,"2,143,634",28,-14.00,15.00,-3.08,3.41,-0.93,"1,198.00",402.00
73,MFIL,55.21,141,145,140,143,141.34,"12,943",140,"1,829,417",25,3.00,5.00,2.14,3.57,1.16,145.00,109.00
74,MHNL,46.01,82,83,82,83,82.79,335,83,"27,735",5,0.00,1.00,0.00,1.22,0.25,114.00,74.00
75,MLBBL,49.81,577,577,559,574,567.46,"1,446",570,"820,554",14,4.00,18.00,0.70,3.22,1.14,955.00,392.00
76,MLBL,42.67,173,174,171,171,172.60,"7,440",174,"1,284,118",29,-3.00,3.00,-1.72,1.75,-0.93,220.00,155.00
77,MNBBL,52.03,279,280,275,279,278.21,"10,581",279,"2,943,765",51,0.00,5.00,0.00,1.82,0.28,400.00,269.00
78,MSLB,57.64,915,918,900,900,903.64,"1,967",900,"1,777,462",20,0.00,18.00,0.00,2.00,-0.40,"1,578.00",820.00
79,MSMBS,47.13,554,575,545,547,551.30,"3,330",564,"1,835,830",33,-17.00,30.00,-3.01,5.50,-0.79,620.00,400.00
80,NABIL,39.76,662,670,660,667,665.67,"22,863",669.64,"15,219,265",190,-83.00,10.00,-12.39,1.52,0.20,900.00,660.00
81,NADEP,48.08,468,468,461,462,462.77,"3,673",467,"1,699,746",36,-5.00,7.00,-1.07,1.52,-0.17,825.00,377.00
82,NBB,50.92,190,191,188,190,188.67,"7,560",189,"1,426,377",41,1.00,3.00,0.53,1.60,0.70,242.00,178.00
83,NBL,52.25,315,317,315,316,315.53,"241,620",315,"76,238,377",233,1.00,2.00,0.32,0.63,0.15,355.00,281.00
84,NCCB,54.09,210,210,203,205,204.59,"64,107",207,"13,115,840",155,-2.00,7.00,-0.97,3.45,0.20,276.00,191.00
85,NEF,56.36,7.59,7.74,7.44,7.44,7.50,"31,423",7.45,"235,542",12,-0.01,0.30,-0.13,4.03,-0.75,9.40,7.15
86,NGPL,44.48,112,113,111,112,111.73,"4,790",112,"535,176",15,0.00,2.00,0.00,1.80,0.24,137.00,97.00
87,NHDL,43.16,120,120,116,117,118.85,550,122,"65,370",14,-5.00,4.00,-4.10,3.45,-1.59,170.00,90.00
88,NHPC,49.13,51,51,50,51,50.93,"3,750",51,"191,000",7,0.00,1.00,0.00,2.00,0.13,82.00,50.00
89,NIB,51.63,435,437,432,433,433.46,"15,066",430,"6,530,551",90,3.00,5.00,0.70,1.16,-0.11,684.00,411.00
90,NIBLPF,55.34,6.86,7.14,6.86,7.14,7.03,"3,031",7,"21,298",4,0.14,0.28,2.00,4.08,1.59,8.46,6.54
91,NIBPO,43.97,400,403,400,401,401.58,"4,618",402,"1,854,500",11,-1.00,3.00,-0.25,0.75,-0.14,601.00,302.00
92,NICA,39.62,415,419,414,414,415.69,"34,008",415,"14,136,807",100,-1.00,5.00,-0.24,1.21,-0.41,515.00,368.00
93,NICBF,34.86,9.02,9.02,9.02,9.02,9.02,100,9.2,902,1,-0.18,0.00,-1.96,0.00,0.00,10.30,9.02
94,NICGF,40.02,8.51,8.68,8.51,8.56,8.58,"6,600",8.62,"56,618",7,-0.06,0.17,-0.70,2.00,-0.22,10.28,8.14
95,NICL,43.39,299,308,285,290,296.35,"14,050",299,"4,163,663",57,-9.00,23.00,-3.01,8.07,-2.19,603.00,235.00
96,NIL,42.81,415,426,412,412,418.49,"5,833",420,"2,441,045",41,-8.00,14.00,-1.90,3.40,-1.57,590.00,349.00
97,NLBBL,49.97,581,581,560,560,566.15,"3,474",570,"1,966,815",29,-10.00,21.00,-1.75,3.75,-1.10,604.00,440.00
98,NLG,46.10,611,613,601,604,607.43,"3,842",608,"2,333,748",27,-4.00,12.00,-0.66,2.00,-0.57,918.00,482.00
99,NLIC,43.56,891,901,885,885,894.90,"17,706",890,"15,845,077",131,-5.00,16.00,-0.56,1.81,-1.12,"1,373.00",749.00
100,NLICL,43.59,480,489,469,472,476.07,"6,763",486,"3,219,650",34,-14.00,20.00,-2.88,4.26,-0.86,760.00,407.00
101,NMB,37.90,328,330,325,325,327.35,"56,332",327,"18,440,353",222,-2.00,5.00,-0.61,1.54,-0.72,407.00,300.00
102,NMBMF,47.18,565,569,560,569,563.41,661,565,"372,414",7,4.00,9.00,0.71,1.61,0.98,"1,355.00",475.00
103,NMBPO,49.54,205,205,205,205,205.00,"16,930",205,"3,470,650",2,0.00,0.00,0.00,0.00,0.00,205.00,200.00
104,NMFBS,46.89,1231,1240,1225,1240,"1,231.66",373,1254,"459,410",12,-14.00,15.00,-1.12,1.22,0.67,"1,821.00","1,049.00"
105,NNLB,38.51,525,525,505,505,507.55,"1,014",515,"514,660",15,-10.00,20.00,-1.94,3.96,-0.51,691.00,374.00
106,NSEWA,41.62,462,464,455,455,459.57,70,471,"32,170",5,-16.00,9.00,-3.40,1.98,-1.00,640.00,368.00
107,NTC,53.33,670,670,650,653,654.17,"15,459",659,"10,112,842",166,-6.00,20.00,-0.91,3.08,-0.18,810.00,606.00
108,NUBL,47.99,785,785,785,785,785.00,130,785,"102,050",2,0.00,0.00,0.00,0.00,0.00,"1,034.00",693.00
