S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,447,452,443,443,445.43,"33,400",447,"14,877,419",119,-4.00,9.00,-0.89,2.03,-0.55,0.00,0.00
2,AHPC,-,215,218,210,211,211.84,"2,597",215,"550,140",15,-4.00,8.00,-1.86,3.81,-0.40,0.00,0.00
3,AKPL,-,340,346,334,336,337.17,"1,968",340,"663,556",88,-4.00,12.00,-1.18,3.59,-0.35,0.00,0.00
4,ALICL,-,1508,1508,1490,1498,"1,495.56","1,626",1508,"2,431,787",15,-10.00,18.00,-0.66,1.21,0.16,0.00,0.00
5,API,-,584,598,566,585,579.40,"1,480",584,"857,518",51,1.00,32.00,0.17,5.65,0.96,0.00,0.00
6,BARUN,-,206,206,196,197,200.95,"1,066",206,"214,208",22,-9.00,10.00,-4.37,5.10,-2.00,0.00,0.00
7,BBC,-,2456,2701,2505,2701,"2,697.19","1,260",2456,"3,398,460",27,245.00,196.00,9.98,7.82,0.14,0.00,0.00
8,GFL,-,126,132,128,130,130.00,"2,160",126,"280,800",7,4.00,4.00,3.17,3.13,0.00,0.00,0.00
9,BHBL,-,263,265,260,265,261.40,420,263,"109,790",5,2.00,5.00,0.76,1.92,1.36,0.00,0.00
10,BNT,-,6866,6866,6866,6866,"6,866.00",135,6866,"926,910",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,BOKL,-,440,448,438,443,441.05,"11,810",440,"5,208,837",83,3.00,10.00,0.68,2.28,0.44,0.00,0.00
12,BPCL,-,625,623,619,619,620.11,"1,042",625,"646,154",5,-6.00,4.00,-0.96,0.65,-0.18,0.00,0.00
13,CBBL,-,1480,1488,1460,1470,"1,468.06","3,870",1480,"5,681,400",22,-10.00,28.00,-0.68,1.92,0.13,0.00,0.00
14,CBL,-,230,231,226,227,228.43,"14,169",230,"3,236,631",66,-3.00,5.00,-1.30,2.21,-0.63,0.00,0.00
15,CCBL,-,224,231,223,225,225.66,"19,404",224,"4,378,793",122,1.00,8.00,0.45,3.59,-0.30,0.00,0.00
16,CFCL,-,188,190,183,187,187.64,521,188,"97,758",8,-1.00,7.00,-0.53,3.83,-0.34,0.00,0.00
17,CHCL,-,760,784,756,780,776.28,"6,239",760,"4,843,216",56,20.00,28.00,2.63,3.70,0.48,0.00,0.00
