S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,422,422,414,416,417.10,"17,305",422,"7,217,966",126,-6.00,8.00,-1.42,1.93,-0.27,0.00,0.00
2,AHPC,-,205,208,200,204,201.12,"8,854",205,"1,780,754",23,-1.00,8.00,-0.49,4.00,1.41,0.00,0.00
3,AKPL,-,330,330,319,322,322.29,"1,927",330,"621,058",60,-8.00,11.00,-2.42,3.45,-0.09,0.00,0.00
4,ALICL,-,1425,1410,1390,1397,"1,397.21",949,1425,"1,325,952",13,-28.00,20.00,-1.96,1.44,-0.02,0.00,0.00
5,API,-,495,499,484,490,491.65,"1,930",495,"948,876",21,-5.00,15.00,-1.01,3.10,-0.34,0.00,0.00
6,BARUN,-,205,203,202,203,202.83,60,205,"12,170",3,-2.00,1.00,-0.98,0.50,0.08,0.00,0.00
7,BBC,-,2172,2135,2129,2129,"2,131.10",100,2172,"213,110",5,-43.00,6.00,-1.98,0.28,-0.10,0.00,0.00
8,BFC,-,132,131,128,128,130.38,210,132,"27,380",3,-4.00,3.00,-3.03,2.34,-1.86,0.00,0.00
9,BHBL,-,184,181,178,178,178.50,60,184,"10,710",3,-6.00,3.00,-3.26,1.69,-0.28,0.00,0.00
10,BNT,-,6498,6369,5849,5849,"6,082.59",700,6498,"4,257,810",23,-649.00,520.00,-9.99,8.89,-3.99,0.00,0.00
11,BOKL,-,414,414,405,410,409.09,"20,047",414,"8,201,017",92,-4.00,9.00,-0.97,2.22,0.22,0.00,0.00
12,BPCL,-,605,617,594,605,603.21,902,605,"544,099",11,0.00,23.00,0.00,3.87,0.30,0.00,0.00
13,CBBL,-,1075,1075,1033,1042,"1,052.90","2,470",1075,"2,600,665",29,-33.00,42.00,-3.07,4.07,-1.05,0.00,0.00
14,CBL,-,230,230,227,228,228.76,"13,660",230,"3,124,899",78,-2.00,3.00,-0.87,1.32,-0.33,0.00,0.00
15,CCBL,-,219,220,216,219,217.86,"17,456",219,"3,802,959",108,0.00,4.00,0.00,1.85,0.52,0.00,0.00
16,CFCL,-,191,191,186,191,189.32,"1,604",191,"303,674",7,0.00,5.00,0.00,2.69,0.88,0.00,0.00
17,CHCL,-,773,775,756,757,761.91,"15,506",773,"11,814,236",84,-16.00,19.00,-2.07,2.51,-0.65,0.00,0.00
18,CHL,-,188,185,182,182,182.81,162,188,"29,616",9,-6.00,3.00,-3.19,1.65,-0.45,0.00,0.00
19,CIT,-,3670,3630,3561,3630,"3,580.04","1,587",3670,"5,681,530",23,-40.00,69.00,-1.09,1.94,1.38,0.00,0.00
20,CLBSL,-,1039,1025,1000,1010,"1,014.58",240,1039,"243,500",13,-29.00,25.00,-2.79,2.50,-0.45,0.00,0.00
21,CZBIL,-,293,290,285,290,289.46,"14,387",293,"4,164,494",61,-3.00,5.00,-1.02,1.75,0.19,0.00,0.00
22,DBBL,-,240,240,234,237,237.26,"12,825",240,"3,042,836",78,-3.00,6.00,-1.25,2.56,-0.11,0.00,0.00
