S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,310,318,310,315,315.05,"3,431",314,"1,080,948",33,1.00,8.00,0.32,2.58,-0.02,511.00,283.00
2,AHPC,-,152,152,147,147,148.78,"22,685",155,"3,374,975",69,-8.00,5.00,-5.16,3.40,-1.21,318.00,147.00
3,AKPL,-,230,230,225,225,225.99,446,227,"100,791",9,-2.00,5.00,-0.88,2.22,-0.44,503.00,212.00
4,ALICL,-,591,600,579,600,584.95,"1,864",589,"1,090,342",19,11.00,21.00,1.87,3.63,2.51,"1,723.00",520.00
5,API,-,272,278,270,276,272.07,747,267,"203,240",11,9.00,8.00,3.37,2.96,1.42,683.00,246.00
6,BARUN,-,191,191,182,183,186.90,"1,270",194,"237,362",10,-11.00,9.00,-5.67,4.95,-2.13,318.00,162.00
7,BBC,-,1725,1760,1725,1760,"1,737.55",165,1728,"286,695",3,32.00,35.00,1.85,2.03,1.28,"3,030.00","1,687.00"
8,BHBL,-,136,136,135,135,135.50,200,136,"27,100",2,-1.00,1.00,-0.74,0.74,-0.37,384.00,136.00
9,BNT,-,5473,5473,5473,5473,"5,473.00",10,5366,"54,730",1,107.00,0.00,1.99,0.00,0.00,"8,287.00","3,382.00"
10,BOKL,-,311,316,310,316,313.71,"7,698",313,"2,414,961",36,3.00,6.00,0.96,1.94,0.72,563.00,294.00
11,BPCL,-,460,469,451,469,457.50,"3,028",451,"1,385,313",15,18.00,18.00,3.99,3.99,2.45,783.00,420.00
12,CBBL,-,800,804,800,804,802.52,"3,248",800,"2,606,580",30,4.00,4.00,0.50,0.50,0.18,"1,780.00",733.00
13,CBL,-,143,147,143,145,145.08,"10,713",145,"1,554,231",37,0.00,4.00,0.00,2.80,-0.05,300.00,136.00
14,CCBL,-,168,171,168,170,169.64,"6,439",168,"1,092,332",59,2.00,3.00,1.19,1.79,0.21,417.00,155.00
15,CHCL,-,700,710,696,708,816.81,"7,486",702,"6,114,608",32,6.00,14.00,0.85,2.01,-15.37,975.00,649.00
16,CIT,-,2650,2660,2642,2650,"2,648.73","4,810",2650,"12,740,389",47,0.00,18.00,0.00,0.68,0.05,"4,857.00","2,530.00"
17,CLBSL,-,661,661,648,648,653.63,40,649,"26,145",3,-1.00,13.00,-0.15,2.01,-0.87,"1,448.00",613.00
18,CORBL,-,139,139,137,137,138.67,120,139,"16,640",2,-2.00,2.00,-1.44,1.46,-1.22,150.00,127.00
19,CZBIL,-,252,255,250,253,252.23,"12,578",255,"3,172,513",53,-2.00,5.00,-0.78,2.00,0.31,451.00,236.00
20,DBBL,-,137,138,136,138,137.00,"2,905",138,"397,990",14,0.00,2.00,0.00,1.47,0.72,304.00,131.00
