S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,353,354,345,348,348.06,"10,047",352,"3,496,945",73,-4.00,9.00,-1.14,2.61,-0.02,478.00,283.00
2,AHPC,-,188,188,176,185,180.06,"10,501",186,"1,890,826",43,-1.00,12.00,-0.54,6.82,2.67,318.00,147.00
3,AKPL,-,329,330,314,316,320.01,"5,745",334,"1,838,484",40,-18.00,16.00,-5.39,5.10,-1.27,503.00,212.00
4,ALICL,-,857,857,830,831,843.02,"17,824",874,"15,025,909",124,-43.00,27.00,-4.92,3.25,-1.45,"1,723.00",520.00
5,AMFI,-,327,333,327,333,330.00,20,321,"6,600",2,12.00,6.00,3.74,1.83,0.90,321.00,246.00
6,API,-,360,370,346,350,354.74,"6,381",363,"2,263,624",46,-13.00,24.00,-3.58,6.94,-1.36,683.00,246.00
7,BARUN,-,181,183,178,180,181.21,888,181,"160,916",11,-1.00,5.00,-0.55,2.81,-0.67,314.00,162.00
8,BHBL,-,159,159,156,156,158.25,400,162,"63,300",3,-6.00,3.00,-3.70,1.92,-1.44,384.00,135.00
9,BNT,-,6341,6341,6000,6000,"6,164.13",80,6470,"493,130",7,-470.00,341.00,-7.26,5.68,-2.74,"8,287.00","3,890.00"
10,BOKL,-,352,352,341,342,344.18,"8,851",349,"3,046,309",51,-7.00,11.00,-2.01,3.23,-0.64,524.00,294.00
11,BPCL,-,492,492,467,480,478.21,"7,128",485,"3,408,699",51,-5.00,25.00,-1.03,5.35,0.37,783.00,420.00
12,CBBL,-,1045,1045,1010,1025,"1,018.38","2,815",1051,"2,866,740",42,-26.00,35.00,-2.47,3.47,0.65,"1,752.00",733.00
13,CBL,-,170,170,163,163,165.28,"20,271",168,"3,350,296",50,-5.00,7.00,-2.98,4.29,-1.40,282.00,136.00
14,CCBL,-,200,200,193,196,196.67,"46,209",199,"9,088,083",158,-3.00,7.00,-1.51,3.63,-0.34,394.00,155.00
15,CEFL,-,198,206,198,198,199.57,230,195,"45,900",7,3.00,8.00,1.54,4.04,-0.79,290.00,55.00
16,CFCL,-,123,125,120,120,121.02,"1,610",121,"194,850",8,-1.00,5.00,-0.83,4.17,-0.85,216.00,114.00
17,CHCL,-,875,875,829,830,843.00,"13,870",858,"11,692,436",124,-28.00,46.00,-3.26,5.55,-1.57,975.00,649.00
18,CHL,-,168,168,165,166,165.17,902,168,"148,983",16,-2.00,3.00,-1.19,1.82,0.50,355.00,143.00
19,CIT,-,2741,2741,2610,2650,"2,651.12","1,256",2710,"3,329,812",17,-60.00,131.00,-2.21,5.02,-0.04,"4,857.00","2,298.00"
20,CLBSL,-,860,860,820,820,850.43,278,873,"236,420",10,-53.00,40.00,-6.07,4.88,-3.71,"1,448.00",613.00
21,CORBL,-,125,127,121,123,123.77,"1,090",127,"134,910",9,-4.00,6.00,-3.15,4.96,-0.63,150.00,116.00
22,CZBIL,-,277,279,270,270,273.86,"24,733",282,"6,773,295",105,-12.00,9.00,-4.26,3.33,-1.43,421.00,236.00
23,DBBL,-,151,153,148,150,150.03,"14,115",151,"2,117,700",49,-1.00,5.00,-0.66,3.38,-0.02,288.00,131.00
24,DDBL,-,871,875,858,858,866.45,"1,677",875,"1,453,042",22,-17.00,17.00,-1.94,1.98,-0.99,"1,560.00",605.00
25,EBL,-,815,830,798,798,812.37,"17,296",825,"14,050,837",210,-27.00,32.00,-3.27,4.01,-1.80,"1,899.00",650.00
26,EBLCP,-,617,661,612,612,633.19,"1,213",605,"768,056",20,7.00,49.00,1.16,8.01,-3.46,"1,503.00",605.00
27,EDBL,-,370,370,361,361,364.42,"1,900",374,"692,400",10,-13.00,9.00,-3.48,2.49,-0.95,750.00,320.00
28,EIC,-,1600,1610,1515,1515,"1,552.08","1,340",1579,"2,079,785",30,-64.00,95.00,-4.05,6.27,-2.45,"3,199.00","1,171.00"
29,FMDBL,-,640,640,612,618,621.60,"11,241",640,"6,987,354",109,-22.00,28.00,-3.44,4.58,-0.58,"1,200.00",450.00
30,FOWAD,-,2468,2468,2355,2398,"2,402.70","5,836",2439,"14,022,173",82,-41.00,113.00,-1.68,4.80,-0.20,"4,140.00","1,051.00"
31,GBBL,-,210,210,200,201,201.80,"5,833",207,"1,177,097",36,-6.00,10.00,-2.90,5.00,-0.40,335.00,169.00
32,GBIME,-,325,327,318,319,322.03,"28,633",321,"9,220,659",74,-2.00,9.00,-0.62,2.83,-0.95,421.00,285.00
33,NGBBL,-,655,678,640,646,651.98,"20,468",667,"13,344,709",154,-21.00,38.00,-3.15,5.94,-0.93,"1,050.00",416.00
34,GDBL,-,265,265,251,255,257.95,"21,103",265,"5,443,556",81,-10.00,14.00,-3.77,5.58,-1.16,517.00,209.00
35,GILB,-,1320,1320,1200,1200,"1,269.40",384,1298,"487,450",12,-98.00,120.00,-7.55,10.00,-5.78,"2,790.00",951.00
36,GLICL,-,1005,1015,951,970,984.10,"13,401",1005,"13,187,866",110,-35.00,64.00,-3.48,6.73,-1.45,"1,301.00",598.00
37,GMFIL,-,152,154,152,152,152.20,610,154,"92,840",5,-2.00,2.00,-1.30,1.32,-0.13,300.00,141.00
38,GRDBL,-,171,171,171,171,171.00,80,170,"13,680",3,1.00,0.00,0.59,0.00,0.00,750.00,159.00
39,GUFL,-,133,133,128,128,129.56,177,134,"22,933",5,-6.00,5.00,-4.48,3.91,-1.22,290.00,111.00
40,HAMRO,-,163,163,156,156,159.18,848,160,"134,986",11,-4.00,7.00,-2.50,4.49,-2.04,310.00,133.00
41,HATH,-,144,147,140,140,143.13,875,142,"125,235",8,-2.00,7.00,-1.41,5.00,-2.23,226.00,130.00
42,HBL,-,635,635,616,616,624.24,"9,882",635,"6,168,727",20,-19.00,19.00,-2.99,3.08,-1.34,999.00,560.00
43,HDL,-,1159,1159,1159,1159,"1,159.00",50,1182,"57,950",1,-23.00,0.00,-1.95,0.00,0.00,"2,246.00",572.00
44,HGI,-,510,515,498,500,505.25,"7,521",509,"3,799,988",65,-9.00,17.00,-1.77,3.41,-1.05,"1,804.00",350.00
45,HIDCL,-,159,165,159,164,160.94,"17,201",162,"2,768,269",49,2.00,6.00,1.23,3.77,1.87,220.00,134.00
46,HPPL,-,338,338,327,329,330.94,"2,210",338,"731,370",40,-9.00,11.00,-2.66,3.36,-0.59,471.00,238.00
47,ICFC,-,207,207,201,201,204.10,826,209,"168,590",9,-8.00,6.00,-3.83,2.99,-1.54,339.00,180.00
48,IGI,-,990,990,942,942,967.03,920,990,"889,670",19,-48.00,48.00,-4.85,5.10,-2.66,"1,985.00",660.00
49,JBBL,-,156,158,154,154,155.00,"2,834",156,"439,282",23,-2.00,4.00,-1.28,2.60,-0.65,328.50,133.00
50,JBNL,-,181,182,174,179,176.52,"44,850",178,"7,916,901",102,1.00,8.00,0.56,4.60,1.39,373.00,144.00
51,JEFL,-,120,120,116,116,118.55,"4,546",118,"538,916",11,-2.00,4.00,-1.69,3.45,-2.20,290.00,111.00
52,JFL,-,189,189,179,182,183.48,"17,323",192,"3,178,423",40,-10.00,10.00,-5.21,5.59,-0.81,322.00,147.00
53,JSLBB,-,2969,2969,2969,2969,"2,969.00",10,3029,"29,690",1,-60.00,0.00,-1.98,0.00,0.00,"4,110.00","2,173.00"
54,KADBL,-,206,206,205,206,205.31,638,206,"130,990",2,0.00,1.00,0.00,0.49,0.33,405.00,188.00
55,KBBL,-,250,251,238,242,245.42,"10,634",255,"2,609,782",34,-13.00,13.00,-5.10,5.46,-1.41,384.00,200.00
56,KBL,-,255,255,245,250,248.42,"21,782",252,"5,411,141",67,-2.00,10.00,-0.79,4.08,0.63,363.00,219.00
57,KKHC,-,133,135,131,131,133.33,244,135,"32,532",12,-4.00,4.00,-2.96,3.05,-1.78,255.00,121.00
58,KMCDB,-,1428,1430,1374,1400,"1,401.83","1,261",1419,"1,767,708",19,-19.00,56.00,-1.34,4.08,-0.13,"2,519.00",858.00
59,KMFL,-,1484,1513,1470,1513,"1,502.80",345,1455,"518,465",7,58.00,43.00,3.99,2.93,0.67,"3,376.00","1,100.00"
60,KNBL,-,147,150,145,147,146.76,"1,426",150,"209,282",11,-3.00,5.00,-2.00,3.45,0.16,673.00,125.00
61,KRBL,-,131,131,131,131,131.00,33,133,"4,323",3,-2.00,0.00,-1.50,0.00,0.00,343.00,110.00
62,KSBBL,-,165,168,162,162,163.63,"13,429",167,"2,197,359",45,-5.00,6.00,-2.99,3.70,-1.00,261.00,139.00
