S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,335,340,335,340,338.13,"10,925",340,"3,694,072",60,0.00,5.00,0.00,1.49,0.55,472.00,283.00
2,AHPC,-,170,170,166,169,167.11,"5,952",169,"994,635",22,0.00,4.00,0.00,2.41,1.12,301.00,147.00
3,AKPL,-,307,312,307,311,309.39,840,311,"259,890",32,0.00,5.00,0.00,1.63,0.52,483.00,212.00
4,ALICL,-,802,802,790,790,790.90,"2,160",804,"1,708,340",14,-14.00,12.00,-1.74,1.52,-0.11,"1,723.00",520.00
5,API,-,333,345,333,335,337.32,"3,869",336,"1,305,082",28,-1.00,12.00,-0.30,3.60,-0.69,683.00,246.00
6,BARUN,-,163,163,159,162,160.74,"1,561",163,"250,912",10,-1.00,4.00,-0.61,2.52,0.78,314.00,157.00
7,BNT,-,6100,6303,6100,6303,"6,146.43",70,6180,"430,250",3,123.00,203.00,1.99,3.33,2.48,"8,287.00","5,336.00"
8,BOKL,-,328,330,327,330,328.58,"4,287",333,"1,408,629",28,-3.00,3.00,-0.90,0.92,0.43,503.00,294.00
9,BPCL,-,476,480,471,479,478.40,"3,500",474,"1,674,390",39,5.00,9.00,1.05,1.91,0.13,783.00,420.00
10,CBBL,-,1005,1015,1000,1010,"1,008.41",772,1003,"778,495",13,7.00,15.00,0.70,1.50,0.16,"1,752.00",733.00
11,CBL,-,165,165,162,165,163.30,"6,486",163,"1,059,189",36,2.00,3.00,1.23,1.85,1.03,272.00,136.00
12,CCBL,-,186,188,184,187,185.91,"17,671",186,"3,285,153",81,1.00,4.00,0.54,2.17,0.58,394.00,155.00
13,CCBLPO,-,182,182,182,182,182.00,"78,210",182,"14,234,220",2,0.00,0.00,0.00,0.00,0.00,209.00,182.00
14,CHCL,-,850,854,838,841,841.95,"5,194",848,"4,373,090",37,-7.00,16.00,-0.83,1.91,-0.11,975.00,649.00
15,CHL,-,146,150,146,148,147.78,90,148,"13,300",9,0.00,4.00,0.00,2.74,0.15,355.00,143.00
16,CIT,-,2678,2745,2650,2725,"2,710.71","8,925",2626,"24,193,096",101,99.00,95.00,3.77,3.58,0.52,"4,857.00","2,298.00"
17,CLBSL,-,806,815,790,815,799.70,436,805,"348,670",10,10.00,25.00,1.24,3.16,1.88,"1,414.00",613.00
18,CORBL,-,112,112,112,112,112.00,40,114,"4,480",1,-2.00,0.00,-1.75,0.00,0.00,150.00,113.00
19,CZBIL,-,266,266,263,264,263.81,"5,355",266,"1,412,694",38,-2.00,3.00,-0.75,1.14,0.07,412.00,236.00
20,DBBL,-,140,143,140,141,142.03,"1,088",142,"154,526",10,-1.00,3.00,-0.70,2.14,-0.73,281.00,131.00
21,DDBL,-,842,875,835,870,841.76,"4,298",859,"3,617,864",40,11.00,40.00,1.28,4.79,3.25,"1,550.00",605.00
22,DHPL,-,115,116,115,116,115.76,82,117,"9,492",8,-1.00,1.00,-0.85,0.87,0.21,232.00,114.00
23,EBL,-,746,750,729,733,736.41,"10,451",742,"7,696,196",118,-9.00,21.00,-1.21,2.88,-0.46,"1,800.00",650.00
24,EDBL,-,345,345,345,345,345.00,100,350,"34,500",1,-5.00,0.00,-1.43,0.00,0.00,750.00,320.00
25,EIC,-,1579,1580,1548,1548,"1,570.45",67,1549,"105,220",4,-1.00,32.00,-0.06,2.07,-1.45,"3,199.00","1,171.00"
26,FMDBL,-,600,614,590,611,605.69,"4,061",601,"2,459,696",37,10.00,24.00,1.66,4.07,0.87,"1,200.00",450.00
27,FOWAD,-,2450,2500,2420,2499,"2,452.79","1,662",2449,"4,076,542",43,50.00,80.00,2.04,3.31,1.85,"4,140.00","1,103.00"
28,GBBL,-,195,200,194,200,195.57,"1,751",196,"342,447",17,4.00,6.00,2.04,3.09,2.21,323.00,169.00
29,GBIME,-,310,312,309,309,310.29,"9,475",311,"2,939,963",53,-2.00,3.00,-0.64,0.97,-0.42,411.00,285.00
30,GBLBS,-,630,645,625,645,629.88,"5,718",635,"3,601,650",45,10.00,20.00,1.57,3.20,2.34,"1,050.00",416.00
31,GDBL,-,260,260,255,256,256.87,"44,669",258,"11,473,937",187,-2.00,5.00,-0.78,1.96,-0.34,517.00,209.00
32,GFCL,-,124,127,124,125,125.35,"3,369",124,"422,313",12,1.00,3.00,0.81,2.42,-0.28,336.00,118.00
33,GILB,-,1255,1330,1243,1330,"1,267.71",156,1255,"197,762",18,75.00,87.00,5.98,7.00,4.68,"2,790.00",951.00
34,GLICL,-,976,988,976,981,982.70,958,986,"941,423",9,-5.00,12.00,-0.51,1.23,-0.17,"1,300.00",598.00
35,GMFIL,-,147,147,147,147,147.00,459,147,"67,473",1,0.00,0.00,0.00,0.00,0.00,288.00,141.00
36,GUFL,-,117,117,114,114,115.71,665,115,"76,950",7,-1.00,3.00,-0.87,2.63,-1.50,213.00,111.00
37,HAMRO,-,142,142,140,140,141.35,148,144,"20,920",2,-4.00,2.00,-2.78,1.43,-0.97,302.00,133.00
38,HATH,-,142,144,141,144,142.50,320,142,"45,600",4,2.00,3.00,1.41,2.13,1.04,226.00,130.00
39,HBL,-,605,606,600,602,601.79,825,610,"496,475",12,-8.00,6.00,-1.31,1.00,0.04,960.00,560.00
40,HDL,-,1321,1340,1314,1340,"1,318.05",850,1340,"1,120,340",11,0.00,26.00,0.00,1.98,1.64,"2,246.00",692.00
41,HGI,-,486,491,485,491,486.39,"3,880",490,"1,887,203",21,1.00,6.00,0.20,1.24,0.94,"1,804.00",350.00
