S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,340,342,334,337,337.92,"9,698",340,"3,277,168",53,-3.00,8.00,-0.88,2.40,-0.27,472.00,283.00
2,AHPC,-,168,169,167,168,168.16,"2,738",170,"460,422",15,-2.00,2.00,-1.18,1.20,-0.10,300.00,147.00
3,AKPL,-,312,312,305,305,308.61,"3,234",315,"998,045",29,-10.00,7.00,-3.17,2.30,-1.18,469.00,212.00
4,ALICL,-,800,800,775,775,785.21,"4,181",790,"3,282,980",36,-15.00,25.00,-1.90,3.23,-1.32,"1,723.00",520.00
5,API,-,325,327,314,321,321.56,"3,476",328,"1,117,737",33,-7.00,13.00,-2.13,4.14,-0.17,683.00,246.00
6,BHBL,-,140,142,140,142,140.18,"1,100",142,"154,200",2,0.00,2.00,0.00,1.43,1.28,320.00,135.00
7,BNT,-,6300,6300,6294,6294,"6,298.00",30,6422,"188,940",2,-128.00,6.00,-1.99,0.10,-0.06,"8,287.00","5,336.00"
8,BOKL,-,330,330,325,325,325.90,"3,852",330,"1,255,371",23,-5.00,5.00,-1.52,1.54,-0.28,503.00,294.00
9,BPCL,-,472,478,465,465,467.87,"7,584",470,"3,548,334",118,-5.00,13.00,-1.06,2.80,-0.62,783.00,420.00
10,CBBL,-,1015,1015,1000,1000,"1,008.94","1,660",1010,"1,674,837",22,-10.00,15.00,-0.99,1.50,-0.89,"1,752.00",733.00
11,CBL,-,166,169,164,168,165.28,"18,183",168,"3,005,348",48,0.00,5.00,0.00,3.05,1.62,272.00,136.00
12,CCBL,-,188,188,184,185,185.30,"10,772",186,"1,996,055",50,-1.00,4.00,-0.54,2.17,-0.16,394.00,155.00
13,CFCL,-,120,120,120,120,120.00,300,122,"36,000",1,-2.00,0.00,-1.64,0.00,0.00,216.00,114.00
14,CHCL,-,835,847,831,839,839.24,"7,744",841,"6,499,097",57,-2.00,16.00,-0.24,1.93,-0.03,975.00,543.74
15,CHL,-,147,149,147,149,148.00,88,149,"13,024",4,0.00,2.00,0.00,1.36,0.67,355.00,143.00
16,CIT,-,2740,2750,2702,2735,"2,726.97","1,054",2735,"2,874,229",19,0.00,48.00,0.00,1.78,0.29,"4,857.00","2,298.00"
17,CLBSL,-,864,864,815,815,848.27,211,848,"178,986",9,-33.00,49.00,-3.89,6.01,-4.08,"1,414.00",613.00
18,CMF1,-,9.45,9.6,9.4,9.6,9.57,"1,400",9.35,"13,397",4,0.25,0.20,2.67,2.13,0.32,10.00,9.30
19,CORBL,-,114,114,114,114,114.00,60,116,"6,840",1,-2.00,0.00,-1.72,0.00,0.00,150.00,112.00
20,CZBIL,-,266,266,260,264,265.08,"6,081",265,"1,611,941",42,-1.00,6.00,-0.38,2.31,-0.41,412.00,236.00
21,DBBL,-,144,144,140,142,141.54,"2,840",145,"401,970",9,-3.00,4.00,-2.07,2.86,0.32,281.00,131.00
22,DDBL,-,862,862,813,840,839.62,"2,201",846,"1,848,001",20,-6.00,49.00,-0.71,6.03,0.05,"1,550.00",605.00
23,DHPL,-,113,115,113,115,114.05,21,112,"2,395",2,3.00,2.00,2.68,1.77,0.83,232.00,112.00
24,EBL,-,736,741,723,736,732.94,"20,797",731,"15,242,993",141,5.00,18.00,0.68,2.49,0.42,"1,800.00",650.00
25,EDBL,-,349,355,349,349,349.19,310,343,"108,250",4,6.00,6.00,1.75,1.72,-0.06,750.00,320.00
26,EIC,-,1550,1581,1531,1558,"1,553.90","2,276",1538,"3,536,685",18,20.00,50.00,1.30,3.27,0.26,"3,199.00","1,171.00"
27,FMDBL,-,611,612,597,606,603.52,"9,413",611,"5,680,898",64,-5.00,15.00,-0.82,2.51,0.41,"1,200.00",450.00
28,FOWAD,-,2440,2488,2411,2450,"2,454.03","1,779",2454,"4,365,727",34,-4.00,77.00,-0.16,3.19,-0.16,"4,140.00","1,103.00"
29,GBBL,-,196,199,195,195,196.29,"2,527",193,"496,013",13,2.00,4.00,1.04,2.05,-0.66,322.00,169.00
30,GBIME,-,310,310,305,306,307.93,"19,753",311,"6,082,525",67,-5.00,5.00,-1.61,1.64,-0.63,411.00,285.00
31,GBLBS,-,652,653,628,634,633.75,"11,597",646,"7,349,570",76,-12.00,25.00,-1.86,3.98,0.04,"1,050.00",416.00
32,GDBL,-,211,213,207,213,209.63,"3,765",215,"789,270",21,-2.00,6.00,-0.93,2.90,1.58,517.00,200.00
33,GFCL,-,127,127,127,127,127.00,"1,400",129,"177,800",1,-2.00,0.00,-1.55,0.00,0.00,336.00,118.00
34,GILB,-,1428,1428,1345,1345,"1,381.91",421,1400,"581,786",15,-55.00,83.00,-3.93,6.17,-2.74,"2,790.00",951.00
35,GLICL,-,985,1007,973,1000,992.60,"7,096",985,"7,043,466",53,15.00,34.00,1.52,3.49,0.74,"1,300.00",598.00
36,GRDBL,-,147,149,147,149,147.89,36,150,"5,324",3,-1.00,2.00,-0.67,1.36,0.75,750.00,150.00
37,GUFL,-,116,116,116,116,116.00,"9,943",116,"1,153,388",2,0.00,0.00,0.00,0.00,0.00,213.00,111.00
38,HAMRO,-,142,142,142,142,142.00,50,140,"7,100",1,2.00,0.00,1.43,0.00,0.00,302.00,133.00
39,HATH,-,142,144,140,144,140.79,680,142,"95,740",6,2.00,4.00,1.41,2.86,2.23,226.00,130.00
40,HBL,-,605,610,599,603,603.70,555,607,"335,055",9,-4.00,11.00,-0.66,1.84,-0.12,960.00,560.00
41,HDL,-,1380,1380,1354,1354,"1,376.97","1,180",1405,"1,624,820",10,-51.00,26.00,-3.63,1.92,-1.70,"2,246.00",731.00
42,HGI,-,509,512,492,509,504.01,"13,628",500,"6,868,630",90,9.00,20.00,1.80,4.07,0.98,"1,770.00",350.00
43,HIDCL,-,171,171,161,165,165.06,"5,689",168,"939,041",35,-3.00,10.00,-1.79,6.21,-0.04,217.00,134.00
